Distance,Width,Count,Success,CursorX,CursorY,Time(nanosec)
200,90,0,T,-4,-97,0
200,90,1,F,0,-100,158000000
200,90,2,F,-29,96,318000000
200,90,3,F,54,-84,454000000
200,90,4,F,-76,65,613000000
200,90,5,F,91,-42,759000000
200,90,6,F,-99,14,920000000
200,90,7,F,99,14,1079000000
200,90,8,F,-91,-42,1240000000
200,90,9,F,76,65,1413000000
200,90,10,F,-54,-84,1731000000
200,90,11,F,28,96,2052000000
200,30,0,F,28,96,2052000000
200,30,1,F,0,-100,156000000
200,30,2,F,-28,96,317000000
200,30,3,F,54,-84,464000000
200,30,4,F,-76,65,611000000
200,30,5,F,91,-42,783000000
200,30,6,F,-99,14,943000000
200,30,7,F,99,14,1117000000
200,30,8,F,-91,-42,1265000000
200,30,9,F,76,65,1424000000
200,30,10,F,-55,-84,1610000000
200,30,11,F,28,96,1785000000
200,90,0,F,26,95,1785000000
200,90,1,F,0,-100,143000000
200,90,2,F,-28,95,304000000
200,90,3,F,54,-84,465000000
200,90,4,F,-76,65,625000000
200,90,5,F,91,-42,797000000
200,90,6,F,-99,14,982000000
200,90,7,F,99,13,1144000000
200,90,8,F,-91,-42,1317000000
200,90,9,F,76,65,1490000000
200,90,10,F,-54,-85,1784000000
200,90,11,F,26,95,2063000000
