Distance,Width,Count,Success,CursorX,CursorY,Time(nanosec)
200,90,0,F,-41,-70,0
200,90,1,T,-31,84,1079530400
200,90,2,T,74,-102,1505835200
200,90,3,T,-74,80,1920295200
200,90,4,T,64,-31,2331382000
200,90,5,T,-95,10,2746668500
200,90,6,F,147,28,3172147100
200,90,7,T,-103,-46,3879995700
200,90,8,T,72,77,4385830300
200,90,9,T,-40,-107,4773686500
200,90,10,T,15,116,5265888900
200,90,11,T,-10,-133,5652561200
600,30,0,T,5,-288,5652561200
600,30,1,T,-83,285,998645600
600,30,2,F,176,-262,1717751300
600,30,3,T,-232,202,2866319300
600,30,4,F,293,-134,3811439600
600,30,5,T,-304,41,4905058500
600,30,6,T,299,46,5811716400
600,30,7,T,-266,-136,6733886500
600,30,8,T,236,190,7773079200
600,30,9,T,-168,-249,8651745900
600,30,10,T,81,294,9651104200
600,30,11,T,11,-305,10586839000
400,30,0,T,4,-200,10586839000
400,30,1,F,-60,177,839746700
400,30,2,T,105,-179,1797190200
400,30,3,T,-153,134,2704796800
400,30,4,T,181,-91,3652888400
400,30,5,F,-216,21,4585510200
400,30,6,T,195,38,5758061400
400,30,7,T,-169,-87,6678912400
400,30,8,T,152,136,7705796200
400,30,9,F,-100,-184,8864538100
400,30,10,F,59,211,9598802400
400,30,11,T,1,-201,10519117700
600,60,0,T,-17,-304,10519117700
600,60,1,T,-81,302,599696400
600,60,2,F,203,-291,1172368100
600,60,3,F,-231,234,1918441400
600,60,4,F,301,-96,2666307400
600,60,5,F,-329,43,3451407100
600,60,6,T,282,51,4334877800
600,60,7,T,-302,-127,5024600800
600,60,8,T,209,187,6077997900
600,60,9,F,-182,-279,6813519900
600,60,10,T,69,305,7572869700
600,60,11,T,-13,-292,8533301700
200,90,0,T,-9,-69,8533301700
200,90,1,T,-21,99,707533200
200,90,2,T,62,-108,1306033300
200,90,3,T,-93,76,1799385200
200,90,4,T,114,-48,2280896000
200,90,5,T,-84,15,2760336900
200,90,6,T,78,30,3267286500
200,90,7,T,-94,-45,3934107100
200,90,8,T,87,74,4586623300
200,90,9,T,-76,-95,5308607300
200,90,10,T,12,101,5972132900
200,90,11,T,-14,-106,6747737700
200,60,0,T,4,-80,6747737700
200,60,1,T,-20,105,598899700
200,60,2,T,61,-109,1080804900
200,60,3,T,-94,71,1679464600
200,60,4,T,99,-64,2320314300
200,60,5,T,-104,19,2865219700
200,60,6,T,105,13,3466748200
200,60,7,T,-77,-50,4080081100
200,60,8,T,76,61,4838683800
200,60,9,T,-63,-91,5428672700
200,60,10,T,35,103,6079090400
200,60,11,T,-11,-118,6612824000
600,30,0,T,10,-297,6612824000
600,30,1,F,-102,284,917960900
600,30,2,T,165,-254,2172421400
600,30,3,T,-232,189,3183417900
600,30,4,T,279,-114,4277896100
600,30,5,T,-308,37,5091845000
600,30,6,F,289,19,6037485500
600,30,7,T,-261,-128,7132545300
600,30,8,T,223,198,8171794500
600,30,9,T,-165,-251,8930671300
600,30,10,T,82,296,9703607400
600,30,11,T,-11,-300,10546571200
200,30,0,T,3,-106,10546571200
200,30,1,T,-29,94,718589300
200,30,2,T,54,-95,1412286300
200,30,3,T,-82,76,2052407200
200,30,4,T,99,-52,2692141000
200,30,5,T,-112,17,3237848900
200,30,6,T,109,16,3839415300
200,30,7,F,-78,-33,4384799000
200,30,8,T,70,69,4997777400
200,30,9,T,-48,-94,5598151600
200,30,10,T,23,99,6344635300
200,30,11,T,4,-106,6987329500
600,90,0,T,-11,-290,6987329500
600,90,1,T,-54,292,641621500
600,90,2,T,161,-255,1281626600
600,90,3,T,-245,223,1881401000
600,90,4,T,238,-125,2441474700
600,90,5,T,-300,58,3031854200
600,90,6,T,316,43,3617626700
600,90,7,T,-280,-120,4189355700
600,90,8,T,219,198,4777003600
600,90,9,T,-141,-282,5296336100
600,90,10,T,57,285,5856725100
600,90,11,T,22,-337,6403434600
400,60,0,T,0,-216,6403434600
400,60,1,T,-57,176,760301600
400,60,2,F,83,-192,1438502000
400,60,3,T,-159,147,2092737600
400,60,4,T,176,-65,2638844000
400,60,5,T,-210,26,3238666600
400,60,6,T,183,15,4065125600
400,60,7,T,-209,-78,4665321700
400,60,8,T,151,129,5331954100
400,60,9,T,-116,-161,6064816200
400,60,10,T,60,202,6652732700
400,60,11,F,-33,-199,7331907700
