Distance,Width,Count,Success,CursorX,CursorY,Time(nanosec)
600,30,0,T,9,-307,0
600,30,1,T,-89,293,1066000000
600,30,2,F,144,-241,1947000000
600,30,3,T,-217,202,2882000000
600,30,4,F,258,-118,3736000000
600,30,5,T,-301,43,4655000000
600,30,6,T,289,50,5535000000
600,30,7,T,-275,-117,6269000000
600,30,8,T,214,202,7177000000
600,30,9,F,-173,-268,7990000000
600,30,10,T,84,284,8831000000
600,30,11,T,5,-303,9655000000
600,60,0,T,4,-298,9655000000
600,60,1,T,-89,298,675000000
600,60,2,T,176,-232,1332000000
600,60,3,F,-267,204,1971000000
600,60,4,T,268,-139,2666000000
600,60,5,F,-344,11,3267000000
600,60,6,F,375,32,3746000000
600,60,7,T,-286,-124,4373000000
600,60,8,T,238,185,4959000000
600,60,9,T,-182,-262,5632000000
600,60,10,T,87,286,6299000000
600,60,11,T,8,-304,7172000000
400,60,0,T,-8,-194,7172000000
400,60,1,T,-59,196,661000000
400,60,2,F,134,-205,1164000000
400,60,3,T,-128,143,2032000000
400,60,4,T,201,-86,2579000000
400,60,5,F,-238,18,3060000000
400,60,6,T,198,37,3512000000
400,60,7,T,-187,-75,3994000000
400,60,8,T,156,133,4528000000
400,60,9,T,-100,-176,5033000000
400,60,10,T,65,200,5593000000
400,60,11,T,15,-215,6115000000
600,60,0,T,-2,-296,6115000000
600,60,1,T,-92,297,625000000
600,60,2,T,175,-264,1318000000
600,60,3,F,-272,192,1985000000
600,60,4,T,276,-119,2600000000
600,60,5,T,-321,26,3238000000
600,60,6,F,323,27,3824000000
600,60,7,T,-287,-145,4424000000
600,60,8,T,234,212,5015000000
600,60,9,T,-171,-255,5652000000
600,60,10,T,89,285,6349000000
600,60,11,T,7,-307,7041000000
400,90,0,T,10,-210,7041000000
400,90,1,T,-64,208,586000000
400,90,2,T,133,-171,1092000000
400,90,3,T,-154,123,1826000000
400,90,4,T,203,-80,2305000000
400,90,5,T,-220,8,2786000000
400,90,6,T,218,20,3239000000
400,90,7,T,-184,-82,3759000000
400,90,8,T,171,123,4239000000
400,90,9,T,-146,-178,4773000000
400,90,10,T,45,188,5279000000
400,90,11,T,22,-180,5812000000
600,60,0,T,15,-289,5812000000
600,60,1,T,-100,289,640000000
600,60,2,T,183,-258,1293000000
600,60,3,T,-233,202,2053000000
600,60,4,T,279,-146,2666000000
600,60,5,T,-297,42,3333000000
600,60,6,T,291,42,4014000000
600,60,7,T,-257,-129,4666000000
600,60,8,T,214,188,5359000000
600,60,9,T,-167,-246,6027000000
600,60,10,T,89,293,6733000000
600,60,11,T,6,-311,7335000000
200,60,0,T,0,-111,7335000000
200,60,1,T,-25,87,561000000
200,60,2,T,50,-77,1214000000
200,60,3,T,-84,65,1626000000
200,60,4,F,122,-65,2051000000
200,60,5,F,-129,35,2547000000
200,60,6,F,155,10,2986000000
200,60,7,F,-158,-39,3452000000
200,60,8,F,104,52,3906000000
200,60,9,T,-72,-95,4362000000
200,60,10,T,41,105,4814000000
200,60,11,T,-7,-101,5240000000
400,30,0,T,2,-202,5240000000
400,30,1,T,-63,181,693000000
400,30,2,T,111,-158,1321000000
400,30,3,T,-153,125,1909000000
400,30,4,T,190,-86,2590000000
400,30,5,T,-190,23,3483000000
400,30,6,T,200,25,4176000000
400,30,7,T,-187,-84,4936000000
400,30,8,T,162,124,5576000000
400,30,9,T,-112,-158,6376000000
400,30,10,F,77,186,7136000000
400,30,11,T,-14,-200,7964000000
400,60,0,T,-5,-199,7964000000
400,60,1,T,-46,182,627000000
400,60,2,T,124,-190,1311000000
400,60,3,T,-164,138,1950000000
400,60,4,T,171,-76,2484000000
400,60,5,T,-200,29,2989000000
400,60,6,T,196,41,3577000000
400,60,7,T,-194,-86,4099000000
400,60,8,T,165,132,4698000000
400,60,9,T,-114,-170,5270000000
400,60,10,T,58,188,5832000000
400,60,11,T,16,-191,6512000000
600,90,0,T,-7,-278,6512000000
600,90,1,T,-74,264,654000000
600,90,2,T,183,-223,1254000000
600,90,3,T,-245,209,1801000000
600,90,4,T,262,-131,2427000000
600,90,5,T,-283,54,2948000000
600,90,6,T,273,27,3494000000
600,90,7,T,-278,-131,4109000000
600,90,8,T,224,190,4668000000
600,90,9,T,-162,-239,5323000000
600,90,10,T,84,271,6041000000
600,90,11,T,9,-307,6668000000
600,30,0,F,6,-314,6668000000
600,30,1,T,-89,289,895000000
600,30,2,T,172,-258,1666000000
600,30,3,T,-214,202,2641000000
600,30,4,T,274,-112,3400000000
600,30,5,T,-306,35,4041000000
600,30,6,F,268,37,4865000000
600,30,7,F,-266,-140,5575000000
600,30,8,T,219,203,6414000000
600,30,9,T,-155,-252,7080000000
600,30,10,T,79,283,7814000000
600,30,11,T,-3,-302,8532000000
600,30,0,T,-2,-302,8532000000
600,30,1,T,-87,278,731000000
600,30,2,F,165,-235,1612000000
600,30,3,T,-227,194,2756000000
600,30,4,F,305,-133,3463000000
600,30,5,F,-312,45,4265000000
600,30,6,T,298,37,4785000000
600,30,7,F,-299,-123,5411000000
600,30,8,F,221,175,5970000000
600,30,9,T,-169,-256,6612000000
600,30,10,T,83,296,7199000000
600,30,11,T,-11,-290,7761000000
200,30,0,T,10,-92,7761000000
200,30,1,F,-39,121,545000000
200,30,2,T,49,-76,1091000000
200,30,3,F,-97,74,1585000000
200,30,4,F,105,-48,2091000000
200,30,5,F,-124,20,2545000000
200,30,6,F,123,12,2959000000
200,30,7,T,-96,-43,3426000000
200,30,8,T,77,71,3852000000
200,30,9,T,-66,-93,4292000000
200,30,10,T,26,109,4732000000
200,30,11,F,13,-121,5253000000
400,90,0,T,-5,-225,5253000000
400,90,1,T,-33,176,521000000
400,90,2,T,125,-149,960000000
400,90,3,T,-170,134,1427000000
400,90,4,T,193,-92,1855000000
400,90,5,T,-202,41,2346000000
400,90,6,T,201,32,2732000000
400,90,7,T,-193,-66,3174000000
400,90,8,T,169,148,3627000000
400,90,9,T,-102,-197,4066000000
400,90,10,T,65,170,4522000000
400,90,11,T,16,-172,4989000000
200,90,0,T,-7,-86,4989000000
200,90,1,T,-14,82,360000000
200,90,2,T,68,-90,760000000
200,90,3,T,-89,76,1108000000
200,90,4,T,68,-41,1440000000
200,90,5,T,-99,19,1827000000
200,90,6,T,87,25,2173000000
200,90,7,T,-60,-49,2495000000
200,90,8,T,83,75,2841000000
200,90,9,T,-44,-89,3203000000
200,90,10,T,25,96,3536000000
200,90,11,T,9,-104,3859000000
200,60,0,T,6,-105,3859000000
200,60,1,T,-29,121,384000000
200,60,2,T,70,-106,760000000
200,60,3,T,-80,77,1160000000
200,60,4,T,101,-52,1640000000
200,60,5,T,-106,6,2038000000
200,60,6,T,101,16,2494000000
200,60,7,T,-87,-28,2893000000
200,60,8,T,81,48,3279000000
200,60,9,T,-67,-86,3878000000
200,60,10,T,29,114,4265000000
200,60,11,T,-4,-112,4638000000
200,90,0,T,-5,-112,4638000000
200,90,1,T,-24,119,385000000
200,90,2,T,52,-73,745000000
200,90,3,T,-77,40,1067000000
200,90,4,T,84,-38,1452000000
200,90,5,T,-86,-2,1771000000
200,90,6,T,87,8,2133000000
200,90,7,T,-70,-23,2491000000
200,90,8,T,85,64,2932000000
200,90,9,T,-44,-69,3278000000
200,90,10,T,20,62,3612000000
