Distance,Width,Count,PositionValue,Success
800,90,1,-1.23,F
800,90,2,0.93,T
800,90,3,1.03,F
800,90,4,1.06,F
800,90,5,1.09,F
800,90,6,1.87,F
800,90,7,1.44,F
800,90,8,1.45,F
800,90,9,0.49,T
800,90,10,0.26,T
800,90,11,3.61,F
800,30,1,0.59,T
800,30,2,0.53,T
800,30,3,0.68,T
800,30,4,1.00,T
800,30,5,0.86,T
800,30,6,1.25,F
800,30,7,0.84,T
800,30,8,0.81,T
800,30,9,0.47,T
800,30,10,0.85,T
800,30,11,0.06,T
600,90,1,0.30,T
600,90,2,0.16,T
600,90,3,0.35,T
600,90,4,0.83,T
600,90,5,0.59,T
600,90,6,1.43,F
600,90,7,0.55,T
600,90,8,0.60,T
600,90,9,0.31,T
600,90,10,0.26,T
600,90,11,-0.07,F
1200,90,1,0.96,T
1200,90,2,0.45,T
1200,90,3,0.60,T
1200,90,4,0.63,T
1200,90,5,0.86,T
1200,90,6,1.13,F
1200,90,7,0.80,T
1200,90,8,1.07,F
1200,90,9,1.04,F
1200,90,10,2.92,F
1200,90,11,1.04,F
1200,30,1,0.43,T
1200,30,2,0.27,T
1200,30,3,0.49,T
1200,30,4,0.56,T
1200,30,5,0.75,T
1200,30,6,1.27,F
1200,30,7,1.10,F
1200,30,8,1.32,F
1200,30,9,1.46,F
1200,30,10,5.04,F
1200,30,11,1.01,F
1000,60,1,0.85,T
1000,60,2,0.42,T
1000,60,3,0.76,T
1000,60,4,0.88,T
1000,60,5,1.07,F
1000,60,6,0.96,T
1000,60,7,0.48,T
1000,60,8,0.75,T
1000,60,9,0.68,T
1000,60,10,1.97,F
1000,60,11,-1.06,F
600,60,1,0.22,T
600,60,2,0.44,T
600,60,3,0.47,T
600,60,4,0.40,T
600,60,5,0.64,T
600,60,6,0.75,T
600,60,7,0.43,T
600,60,8,0.37,T
600,60,9,0.46,T
600,60,10,-0.12,F
600,60,11,0.56,T
1200,60,1,0.04,T
1200,60,2,0.19,T
1200,60,3,0.61,T
1200,60,4,0.63,T
1200,60,5,1.14,F
1200,60,6,1.35,F
1200,60,7,0.87,T
1200,60,8,0.99,T
1200,60,9,1.01,F
1200,60,10,5.51,F
1200,60,11,-0.37,F
400,30,1,-0.73,F
400,30,2,0.06,T
400,30,3,0.14,T
400,30,4,0.05,T
400,30,5,0.27,T
400,30,6,0.45,T
400,30,7,0.37,T
400,30,8,0.82,T
400,30,9,0.30,T
400,30,10,0.16,T
400,30,11,1.27,F
400,90,1,-0.09,F
400,90,2,0.06,T
400,90,3,-0.02,F
400,90,4,-0.08,F
400,90,5,0.15,T
400,90,6,0.47,T
400,90,7,0.38,T
400,90,8,0.05,T
400,90,9,0.11,T
400,90,10,83.13,F
400,90,11,0.82,T
1000,90,1,-0.33,F
1000,90,2,0.58,T
1000,90,3,1.05,F
1000,90,4,0.89,T
1000,90,5,0.93,T
1000,90,6,1.30,F
1000,90,7,0.95,T
1000,90,8,1.50,F
1000,90,9,0.97,T
1000,90,10,1.81,F
1000,90,11,3.06,F
600,30,1,0.16,T
600,30,2,0.23,T
600,30,3,0.07,T
600,30,4,0.32,T
600,30,5,0.70,T
600,30,6,1.10,F
600,30,7,1.44,F
600,30,8,2.31,F
600,30,9,2.23,F
600,30,10,1.74,F
600,30,11,0.71,T
1000,30,1,0.53,T
1000,30,2,0.14,T
1000,30,3,0.57,T
1000,30,4,0.69,T
1000,30,5,0.80,T
1000,30,6,1.04,F
1000,30,7,1.05,F
1000,30,8,2.25,F
1000,30,9,2.42,F
1000,30,10,1.63,F
1000,30,11,1.19,F
800,60,1,0.78,T
800,60,2,0.73,T
800,60,3,0.84,T
800,60,4,0.53,T
800,60,5,0.74,T
800,60,6,0.80,T
800,60,7,0.56,T
800,60,8,1.04,F
800,60,9,0.94,T
800,60,10,2.30,F
800,60,11,5.40,F
400,60,1,0.53,T
400,60,2,0.49,T
400,60,3,0.46,T
400,60,4,0.62,T
400,60,5,0.33,T
400,60,6,0.31,T
400,60,7,0.22,T
400,60,8,0.29,T
400,60,9,-0.71,F
400,60,10,-3.54,F
400,60,11,0.66,T
