Distance,Width,Count,PositionValue,Success
400,90,1,0.00,F
400,90,2,1.00,F
400,90,3,1.00,F
400,90,4,0.00,F
400,90,5,0.00,F
400,90,6,1.00,F
400,90,7,0.00,F
400,90,8,1.00,F
400,90,9,0.00,F
400,90,10,1.00,F
400,90,11,0.00,F
400,90,1,0.00,F
400,90,2,1.00,F
400,90,3,0.00,F
400,90,4,1.00,F
400,90,5,0.00,F
400,90,6,1.00,F
400,90,7,1.00,F
400,90,8,1.00,F
400,90,9,1.00,F
400,90,10,1.00,F
400,90,11,NaN,F
600,30,1,1.00,F
600,30,2,0.00,F
600,30,3,1.00,F
600,30,4,1.00,F
600,30,5,1.00,F
600,30,6,0.00,F
600,30,7,1.00,F
600,30,8,0.00,F
600,30,9,1.00,F
600,30,10,0.00,F
600,30,11,NaN,F
200,30,1,0.00,F
200,30,2,1.00,F
200,30,3,NaN,F
200,30,4,0.00,F
200,30,5,NaN,F
200,30,6,NaN,F
200,30,7,NaN,F
200,30,8,NaN,F
200,30,9,NaN,F
200,30,10,NaN,F
200,30,11,NaN,F
200,60,1,0.00,F
200,60,2,0.00,F
200,60,3,1.00,F
200,60,4,0.00,F
200,60,5,1.00,F
200,60,6,0.00,F
200,60,7,1.00,F
200,60,8,0.00,F
200,60,9,1.00,F
200,60,10,1.00,F
200,60,11,0.00,F
200,90,1,NaN,F
200,90,2,0.00,F
200,90,3,1.00,F
200,90,4,0.00,F
200,90,5,0.00,F
200,90,6,0.00,F
200,90,7,1.00,F
200,90,8,0.00,F
200,90,9,1.00,F
200,90,10,1.00,F
200,90,11,0.00,F
400,60,1,0.00,F
400,60,2,0.00,F
400,60,3,1.00,F
400,60,4,1.00,F
400,60,5,0.00,F
400,60,6,1.00,F
400,60,7,1.00,F
400,60,8,1.00,F
400,60,9,0.00,F
400,60,10,1.00,F
400,60,11,0.00,F
400,30,1,NaN,F
400,30,2,0.00,F
400,30,3,0.00,F
400,30,4,NaN,F
400,30,5,1.00,F
400,30,6,NaN,F
400,30,7,0.00,F
400,30,8,1.00,F
400,30,9,1.00,F
400,30,10,0.00,F
400,30,11,0.00,F
200,90,1,NaN,F
200,90,2,0.00,F
200,90,3,0.00,F
200,90,4,0.00,F
200,90,5,NaN,F
200,90,6,0.00,F
200,90,7,0.00,F
200,90,8,0.00,F
200,90,9,0.00,F
200,90,10,1.00,F
200,90,11,0.00,F
