Distance,Width,Count,PositionValue,Success,MAE0,MAE1,MAE2,MAE3,MAE4,MAE5,MAE6,MAE7,MAE8,MAE9,MAE10,Angle0,Angle1,Angle2,Angle3,Angle4,Angle5,Angle6,Angle7,Angle8,Angle9,cpi
300,50,1,0.64,T,37.46751,31.72951,27.48484,24.23438,22.147722,21.945797,24.880333,32.90268,41.892487,50.882324,59.872124,32.314827,29.547771,0.0,26.018877,24.179893,22.304998,19.994871,15.504171,0.6070487,1.3667064,50
300,50,2,0.59,T,48.535778,39.270275,30.004763,20.739244,11.473732,3.2243245,7.6479263,16.51205,25.668036,34.87228,44.119358,-8.48709,-4.651275,-1.8836418,-0.54110396,-1.4820908,-0.97938323,-1.2365601,-3.510372,-2.1250515,0.0,50
300,50,3,0.92,T,44.323895,38.704563,33.085247,27.465912,21.846575,16.244432,10.774319,5.522356,1.7847325,6.351419,11.96516,2.6763315,1.2943546,0.9878943,2.74155,5.258707,5.9747615,5.97923,4.760736,0.0,0.0,80
300,50,4,0.62,T,41.273403,35.309944,29.34653,23.383093,17.419628,11.456915,5.8336577,2.9132566,6.464912,12.397586,18.361076,-5.0247097,0.0,-1.0006609,0.0,-0.90420955,-0.27215567,-0.8298976,-2.1955452,-0.0062511223,0.0,70
300,50,5,0.32,T,22.45873,18.64752,14.837937,11.039532,7.2411213,3.9623325,3.0722148,4.587631,8.419408,12.251119,16.082884,2.968764,0.10588594,1.3472577,2.0809567,0.0,2.156664,0.0,1.6291907,0.5408348,1.3270662,60
300,50,6,0.53,T,9.554994,7.1054726,4.7311316,2.8957393,1.5552789,3.0130012,5.4199553,7.8269987,10.233977,12.669987,15.110104,-3.3907905,-0.96815634,-1.3056341,-2.870218,0.0,-3.337562,-3.199964,-2.7612696,-1.628802,-1.4644738,40
300,50,7,0.63,T,5.196185,6.178391,7.160595,8.142791,9.125428,10.108285,11.092874,12.078996,13.067085,14.057216,15.047337,1.4881024,3.6053498,4.4861836,0.0,4.902137,0.0,4.708878,4.0616446,3.2479134,0.0,0
300,50,8,0.62,T,4.9678073,4.690685,4.4135528,4.136432,3.8620608,3.6396537,3.4530942,3.348386,3.251027,3.153674,3.0747046,-4.6705427,0.0,-3.8287382,-3.360277,-2.403098,0.0,-1.9200069,-1.732011,-0.012844109,0.0,100
300,50,9,0.28,T,9.631612,9.131027,8.630437,8.153415,7.7080455,7.2626944,6.8173146,6.3719573,5.9271326,5.5113645,5.10791,2.178193,1.9889153,1.267814,0.51716256,0.0,2.2959392,2.612285,2.7017176,1.9768873,0.0,100
300,50,10,0.51,T,8.1772585,7.479559,6.914183,6.5769634,6.468602,6.3884444,6.327149,6.307413,6.2877812,6.2681017,6.2709284,-14.391141,-9.79008,-8.664786,-7.6689777,-6.9006047,-5.8409534,-1.4822369,-2.0616598,-2.8334427,0.0,90
