Distance,Width,Count,PositionValue,Success,MAE0,MAE1,MAE2,MAE3,MAE4,MAE5,MAE6,MAE7,MAE8,MAE9,MAE10,Angle0,Angle1,Angle2,Angle3,Angle4,Angle5,Angle6,Angle7,Angle8,Angle9,cpi
900,50,1,0.57,T,23.213717,21.36262,19.514214,17.665928,15.817542,13.969293,12.120994,11.419232,11.495046,11.840007,12.360591,12.909671,9.589575,4.9817915,1.6264511,0.074253485,0.5032153,0.50785285,1.2621963,2.0969243,1.1793454,70
900,50,2,0.03,T,7.385757,12.648383,17.911154,23.176311,28.442352,33.723682,39.012238,44.301025,49.589943,54.87874,60.167477,-7.006122,-0.6032072,-3.1589665,-2.9182262,-2.7152858,-3.005118,-2.9098704,-2.7254395,-0.96566886,-1.1050898,0
900,50,3,0.20,T,26.296026,19.313026,12.9708185,9.514686,9.44474,12.84698,17.451185,22.936516,29.587402,36.560776,43.535046,6.6879315,1.9040656,0.5154069,0.7585574,0.5179807,0.7369779,1.5324519,3.2450008,1.3975364,0.099383004,40
900,50,4,0.24,T,25.266481,23.46517,23.926342,29.426743,39.7338,50.067913,60.483047,70.93089,81.42075,91.94424,102.46779,-7.0475016,-0.69763976,-4.184468,-6.373292,-8.310985,-8.133958,-6.840544,-5.1517043,-0.723807,0.0,10
900,50,5,0.24,T,45.461323,31.790117,18.11833,15.59391,21.187717,29.830147,39.58296,51.560917,64.66618,77.9204,91.327415,14.076338,10.505102,7.2431164,5.623735,5.100216,5.427014,4.576514,2.7045841,0.20591648,0.0,30
900,50,6,0.21,T,27.473936,15.868157,11.404839,14.91984,24.02593,35.818462,48.084545,60.40572,72.74916,85.13669,97.539734,-7.349289,-0.9210379,-0.9327574,-2.9092343,-1.8034567,-0.31862262,-2.2549453,-1.6808094,-0.7498824,-0.80990213,20
900,50,7,0.21,T,19.858263,12.486773,6.8175607,6.3746214,11.876418,19.337072,26.857935,34.48103,42.22388,49.97964,57.73705,5.038805,3.4688478,2.1448145,1.0359237,1.3676254,1.2879698,0.8403685,1.24187,0.12250416,0.11881447,30
900,50,8,0.23,T,5.482716,6.806329,8.129923,9.453528,10.780714,12.109717,13.43875,14.767787,16.096792,17.425756,18.75482,-0.19979836,-2.1544976,-2.5561197,-2.3634052,-1.9396144,-1.3349255,-0.5795261,-0.6427505,-0.4910632,0.0,0
900,50,9,0.18,T,27.76149,22.897268,20.903551,19.70975,19.4647,19.885904,20.773052,22.01477,23.5698,25.507654,27.739006,12.558824,10.0689125,7.373008,6.621058,6.6018114,5.517681,5.1531277,3.926247,0.1437126,0.63188803,40
900,50,10,0.17,T,55.61085,41.886005,34.029667,30.915777,29.144167,29.286234,32.760803,40.925755,54.19233,67.91551,81.63966,-5.7286086,-5.228338,0.0,-5.160825,-6.161687,-7.0852594,-6.5426526,-6.191172,-3.5175745,-0.86099464,40
900,50,11,0.17,T,53.52713,36.91062,21.685629,15.826226,17.977554,29.752123,46.389656,63.02717,79.66465,96.30239,112.93996,3.3453922,2.6613955,2.583085,2.071315,1.4114276,1.7408704,4.335205,5.045714,0.94766444,0.5732875,30
900,50,12,0.22,T,67.82135,48.390823,28.978907,17.986532,19.303053,29.504234,48.821728,68.25562,87.68973,107.12358,126.557625,-0.40560094,-1.6775692,-2.012408,-2.1336472,-2.440067,-3.3521173,-4.808987,-5.7600636,-0.5354571,0.0,30
900,50,13,0.26,T,47.231064,36.33629,25.441631,15.375813,13.327262,14.606077,20.228502,29.088732,39.950264,50.83461,61.7191,9.0575485,8.058787,6.8993273,4.826462,3.6714885,3.682796,4.5409427,4.573033,0.88080907,0.0,40
900,50,14,0.22,T,29.560455,19.820343,10.080296,5.601029,10.365036,19.406054,29.030663,38.72594,48.43748,58.163124,67.89168,-6.4081736,-4.5727386,-2.6385956,-1.6677918,-1.4319261,-1.2306101,-1.4654324,-1.8646076,-1.1647795,-0.26310232,30
900,50,15,0.30,T,12.648385,9.349575,6.1374145,3.6977136,3.1949828,4.9696426,8.196127,11.607078,15.01802,18.428946,21.842623,2.1186523,1.1115031,0.6564699,0.023525665,0.3231536,0.84690607,0.8210944,0.76376885,0.21029249,0.0,40
300,20,1,0.16,T,5.2695274,3.0932035,1.5821702,2.3079925,3.9089348,6.0479636,8.188428,10.328853,12.469314,14.611417,16.760618,3.5945833,2.080551,0.8746456,0.8383888,0.7285243,0.0,0.3878905,0.9996242,0.05210786,0.21637484,20
300,20,2,0.28,T,22.813011,18.667622,14.522237,10.672926,9.450376,9.761005,10.4084015,11.314366,12.466894,14.8997555,18.698744,-12.421837,-13.606566,-14.17439,-12.040836,-10.214351,-9.043162,-8.304386,-7.5289454,-0.91914696,0.0,40
300,20,3,0.31,T,26.64723,20.68068,14.714171,8.881959,7.528096,8.563662,10.585249,15.675443,21.267813,27.072704,33.039383,12.981608,11.590703,10.738241,9.6792965,8.4528675,8.103688,7.1281276,7.0715322,1.8113381,0.0,40
300,20,4,0.22,T,18.85058,13.10447,7.359206,4.028897,4.6476364,9.910856,15.657782,21.404593,27.15148,32.898323,38.64518,-3.2974439,0.0,-7.180703,-6.5974765,-6.0264807,-5.129589,-3.4552436,-3.2064247,-0.67628264,-0.61158574,30
300,20,5,0.20,T,21.120947,15.398391,9.675864,7.500913,8.150231,10.314159,14.44715,19.316471,24.879671,30.486433,36.142025,16.592396,11.134045,9.907807,8.926717,8.304226,7.406031,6.0982175,4.6048074,0.41675037,0.24746683,30
300,20,6,0.23,T,17.36324,12.473812,7.584466,3.8521285,4.324956,8.400237,13.026245,17.678526,22.331894,27.037058,31.767744,-21.89087,-12.4474745,0.0,-4.887267,-3.0807962,-2.3396716,-2.736803,-3.136844,-0.85791564,0.0,30
300,20,7,0.22,T,10.787983,7.9748316,5.1616864,2.9014344,4.4866953,6.572193,8.826051,11.195807,13.572839,16.037682,18.505787,19.606432,17.235178,12.185067,8.929107,7.2813134,5.180145,2.6996114,0.83734685,0.16547799,0.0,30
300,20,8,0.18,T,8.505889,8.646402,8.8109865,8.98052,9.1704645,9.37189,9.573341,9.777641,10.008639,10.239602,10.470595,-0.21938324,-3.34482,-7.404366,-7.0893283,-5.721585,-5.4868703,-4.7682705,-4.7376313,-0.71172243,-1.8070003,0
300,20,9,0.19,T,4.2617273,3.8886745,4.912641,6.5197644,8.591709,10.72944,12.900338,15.104304,17.383987,19.719889,22.087448,15.259634,9.207052,6.366834,4.855771,4.1065016,2.7149725,0.70846933,0.38601822,1.9744674,0.06353043,10
300,20,10,0.23,T,11.549101,7.501924,4.357794,2.0519583,5.8888984,10.173624,14.495852,18.82953,23.165998,27.503433,31.840992,-6.6568794,-2.9322171,-1.0663557,-0.6394938,-2.0149972,-1.9873673,-1.5971196,-0.25706533,-1.3157691,0.0,30
300,20,11,0.17,T,9.082328,3.009943,5.8525286,12.06714,18.36576,24.84856,31.391186,38.005665,44.64922,51.3111,57.995693,21.95014,13.743075,4.568255,0.0,1.053932,2.4480267,2.9135306,1.0772511,1.5742383,0.8209157,10
300,20,12,0.18,T,18.109222,10.448313,5.30749,6.053751,13.052336,20.502344,28.043713,35.59524,43.203266,50.841846,58.502064,-21.976215,-13.878725,-5.803049,-4.8308835,-2.6895573,-0.45270962,-0.38325465,-1.7316236,-1.8074288,-0.3461746,20
300,20,13,0.20,T,13.300242,8.296921,3.8738794,4.9105287,10.822235,16.733883,22.645597,28.557253,34.46895,40.380604,46.29237,0.9024638,2.5601525,2.9095879,3.151995,3.3941355,3.4743316,0.9127485,0.21264718,0.8706789,0.5131827,20
300,20,14,0.25,T,20.931929,15.30207,9.672184,7.887385,10.193741,12.752675,15.6530285,19.324299,24.147331,29.737066,35.366917,23.041058,-12.237119,-9.259903,-7.1906033,-6.3304834,-5.6158376,-5.835255,-6.211441,-1.0163563,-0.42012832,30
300,20,15,0.35,T,5.138246,4.783355,4.529011,4.336914,5.0205417,6.217355,7.685864,9.170302,10.655213,12.141938,13.630897,2.6108882,0.74723965,0.0,2.0073962,2.1502023,3.0974874,3.2963712,2.595717,0.4506678,0.9985832,30
900,120,1,0.31,T,51.102364,45.356853,39.611366,33.865894,30.494581,30.283026,31.131891,32.411457,34.16156,36.174767,38.4495,-9.017014,-11.274827,-12.032435,-10.466543,-8.236788,-7.694392,-7.3233705,-6.4762263,1.7527027,1.115607,50
900,120,2,-0.10,T,16.3329,24.2046,32.07625,39.94793,47.819515,55.69112,63.56287,71.43459,79.30628,87.17785,95.04941,-5.9013085,-6.021548,-5.401432,-4.1880083,-3.2691832,-2.8574228,-2.1324713,-2.0716603,-3.342415,-2.160495,0
900,120,3,0.21,T,28.144531,18.94201,9.746966,3.259634,10.191866,18.42426,27.224834,36.41773,45.611168,54.804665,63.99944,0.9779222,3.2613912,3.815427,3.1885843,1.4599699,1.3788679,1.3362544,0.9014718,0.76834506,0.86333543,30
900,120,4,0.25,T,14.015683,12.760482,16.728506,26.12899,35.61529,45.101498,54.58778,64.074066,73.56036,83.04669,92.53288,-6.1268296,-6.3187466,-6.367902,-6.045032,-4.279813,-3.900797,-3.689633,-3.3822095,-0.040305555,0.0,10
900,120,5,0.32,T,24.70676,15.823809,8.112372,6.6016335,14.259972,22.161442,30.323196,38.64548,47.06534,55.633995,64.402145,9.186577,7.508494,6.0240974,2.847508,1.62789,0.028427599,0.764423,0.042260364,0.78615403,0.0,30
900,120,6,0.27,T,17.804256,13.152961,14.628861,24.202654,33.781376,43.383938,52.992844,62.601543,72.21048,81.81926,91.428246,-0.047968853,-6.530446,-7.259775,-7.300454,-7.0528016,-6.086119,-3.5637186,-1.542271,-0.2644261,0.0,10
900,120,7,0.28,T,16.816816,13.063753,12.18906,13.23359,16.089073,19.650944,23.772991,28.165428,32.75731,37.682415,42.8105,15.951924,10.1667385,7.257443,5.364774,4.0879316,2.5881953,1.517718,0.7942461,1.1158773,0.0,20
900,120,8,0.25,T,11.452691,10.482654,9.512599,8.544499,7.605208,6.665919,5.726632,4.7873645,4.4050508,4.4582453,4.591001,-0.8946614,-0.636538,-1.4395539,-1.2968616,-0.28177822,-0.86163473,-1.777882,-1.8065864,-0.66501725,0.0,80
900,120,9,0.23,T,6.0117455,3.6143224,5.224734,8.930649,13.050002,17.555002,22.079317,26.621983,31.176664,35.735878,40.295086,1.969041,0.22343516,0.80902094,1.3530755,1.2266282,0.022281993,0.17520052,0.5976272,0.31527328,0.0,10
900,120,10,0.19,T,42.151352,31.364971,20.57833,13.31045,13.157036,15.969185,24.926207,34.817287,44.96647,55.36979,65.92252,-15.679077,-9.883569,-8.014437,-5.911502,-4.473325,-4.0143695,-3.5248773,-3.4443502,-0.9588203,-0.66397715,40
