Distance,Width,Count,CycleRepeat,PositionValue,Success
1200,90,1,,0.84,T
1200,90,2,,0.94,T
1200,90,3,,0.88,T
1200,90,4,,1.06,F
1200,90,5,,0.85,T
1200,90,6,,1.49,F
1200,90,7,,1.55,F
1200,90,8,,1.36,F
1200,90,9,,2.43,F
1200,90,10,,-0.24,F
1200,90,11,,0.70,T
600,30,1,,0.82,T
600,30,2,,0.89,T
600,30,3,,0.86,T
600,30,4,,0.93,T
600,30,5,,0.59,T
600,30,6,,0.47,T
600,30,7,,0.71,T
600,30,8,,0.06,T
600,30,9,,-1.03,F
600,30,10,,0.63,T
600,30,11,,0.44,T
800,30,1,,0.75,T
800,30,2,,0.91,T
800,30,3,,0.67,T
800,30,4,,0.91,T
800,30,5,,0.80,T
800,30,6,,0.84,T
800,30,7,,0.63,T
800,30,8,,0.25,T
800,30,9,,-0.15,F
800,30,10,,1.05,F
800,30,11,,0.87,T
1200,30,1,,0.77,T
1200,30,2,,1.23,F
1200,30,3,,0.72,T
1200,30,4,,0.72,T
1200,30,5,,0.40,T
1200,30,6,,0.67,T
1200,30,7,,0.69,T
1200,30,8,,0.55,T
1200,30,9,,4.51,F
1200,30,10,,-0.53,F
1200,30,11,,0.45,T
800,90,1,,0.88,T
800,90,2,,0.82,T
800,90,3,,0.70,T
800,90,4,,0.75,T
800,90,5,,0.51,T
800,90,6,,0.54,T
800,90,7,,0.38,T
800,90,8,,0.16,T
800,90,9,,-0.09,F
800,90,10,,0.97,T
800,90,11,,0.97,T
600,90,1,,0.80,T
600,90,2,,0.86,T
600,90,3,,0.48,T
600,90,4,,0.50,T
600,90,5,,0.28,T
600,90,6,,0.22,T
600,90,7,,0.18,T
600,90,8,,0.17,T
600,90,9,,2.13,F
600,90,10,,2.56,F
600,90,11,,0.73,T
1000,60,1,,0.74,T
1000,60,2,,0.74,T
1000,60,3,,0.58,T
1000,60,4,,0.66,T
1000,60,5,,0.34,T
1000,60,6,,0.51,T
1000,60,7,,0.12,T
1000,60,8,,-0.19,F
1000,60,9,,-3.07,F
1000,60,10,,1.83,F
1000,60,11,,1.10,F
1000,90,1,,0.68,T
1000,90,2,,0.88,T
1000,90,3,,0.63,T
1000,90,4,,0.76,T
1000,90,5,,0.46,T
1000,90,6,,0.77,T
1000,90,7,,0.63,T
1000,90,8,,0.44,T
1000,90,9,,4.60,F
1000,90,10,,3.02,F
1000,90,11,,1.26,F
800,60,1,,0.84,T
800,60,2,,0.84,T
800,60,3,,0.57,T
800,60,4,,0.74,T
800,60,5,,0.51,T
800,60,6,,0.28,T
800,60,7,,-0.18,F
800,60,8,,-0.42,F
800,60,9,,-1.65,F
800,60,10,,0.86,T
800,60,11,,1.35,F
400,60,1,,0.93,T
400,60,2,,0.69,T
400,60,3,,0.41,T
400,60,4,,0.43,T
400,60,5,,0.15,T
400,60,6,,0.33,T
400,60,7,,-0.30,F
400,60,8,,-1.12,F
400,60,9,,1.28,F
400,60,10,,0.92,T
400,60,11,,0.86,T
1200,60,1,,0.70,T
1200,60,2,,1.06,F
1200,60,3,,0.68,T
1200,60,4,,0.80,T
1200,60,5,,0.37,T
1200,60,6,,0.64,T
1200,60,7,,0.23,T
1200,60,8,,0.00,T
1200,60,9,,0.68,T
1200,60,10,,3.05,F
1200,60,11,,0.81,T
400,90,1,,0.82,T
400,90,2,,0.86,T
400,90,3,,0.53,T
400,90,4,,0.52,T
400,90,5,,0.59,T
400,90,6,,0.74,T
400,90,7,,0.23,T
400,90,8,,-0.47,F
400,90,9,,-1.32,F
400,90,10,,1.36,F
400,90,11,,1.01,F
400,30,1,,0.58,T
400,30,2,,0.75,T
400,30,3,,0.55,T
400,30,4,,0.75,T
400,30,5,,0.89,T
400,30,6,,1.16,F
400,30,7,,0.50,T
400,30,8,,-0.43,F
400,30,9,,2.84,F
400,30,10,,1.16,F
400,30,11,,0.79,T
600,60,1,,0.80,T
600,60,2,,0.96,T
600,60,3,,0.78,T
600,60,4,,0.85,T
600,60,5,,0.73,T
600,60,6,,0.83,T
600,60,7,,0.39,T
600,60,8,,-0.05,F
600,60,9,,2.01,F
600,60,10,,0.81,T
600,60,11,,0.84,T
1000,30,1,,0.72,T
1000,30,2,,0.95,T
1000,30,3,,0.62,T
1000,30,4,,0.79,T
1000,30,5,,0.59,T
1000,30,6,,0.85,T
1000,30,7,,0.56,T
1000,30,8,,0.09,T
1000,30,9,,-2.70,F
1000,30,10,,1.80,F
1000,30,11,,0.81,T
