Distance,Width,Count,CycleRepeat,PositionValue,Success
1200,60,1,,2.35,F
1200,60,2,,1.18,F
1200,60,3,,1.11,F
1200,60,4,,0.49,T
1200,60,5,,0.81,T
1200,60,6,,0.91,T
1200,60,7,,0.71,T
1200,60,8,,0.58,T
1200,60,9,,-0.06,F
1200,60,10,,1.63,F
1200,60,11,,0.79,T
400,90,1,,1.02,F
400,90,2,,1.16,F
400,90,3,,0.69,T
400,90,4,,0.48,T
400,90,5,,0.42,T
400,90,6,,0.38,T
400,90,7,,-0.04,F
400,90,8,,-0.09,F
400,90,9,,-2.04,F
400,90,10,,5.43,F
400,90,11,,1.44,F
400,30,1,,1.35,F
400,30,2,,1.11,F
400,30,3,,0.85,T
400,30,4,,0.72,T
400,30,5,,0.31,T
400,30,6,,0.10,T
400,30,7,,-0.00,F
400,30,8,,-0.41,F
400,30,9,,-6.65,F
400,30,10,,4.19,F
400,30,11,,1.62,F
800,60,1,,1.27,F
800,60,2,,1.32,F
800,60,3,,0.83,T
800,60,4,,0.76,T
800,60,5,,0.80,T
800,60,6,,0.83,T
800,60,7,,1.03,F
800,60,8,,0.62,T
800,60,9,,-0.70,F
800,60,10,,8.43,F
800,60,11,,1.65,F
1000,30,1,,1.60,F
1000,30,2,,1.40,F
1000,30,3,,1.49,F
1000,30,4,,1.43,F
1000,30,5,,0.66,T
1000,30,6,,0.81,T
1000,30,7,,0.74,T
1000,30,8,,1.08,F
1000,30,9,,5.39,F
1000,30,10,,1.27,F
1000,30,11,,1.92,F
800,90,1,,1.19,F
800,90,2,,1.25,F
800,90,3,,0.77,T
800,90,4,,0.60,T
800,90,5,,0.65,T
800,90,6,,0.44,T
800,90,7,,-0.01,F
800,90,8,,0.13,T
800,90,9,,-1.50,F
800,90,10,,2.16,F
800,90,11,,1.30,F
600,90,1,,1.79,F
600,90,2,,1.03,F
600,90,3,,1.03,F
600,90,4,,0.50,T
600,90,5,,1.02,F
600,90,6,,0.81,T
600,90,7,,0.57,T
600,90,8,,0.77,T
600,90,9,,2.49,F
600,90,10,,1.46,F
600,90,11,,1.01,F
1200,90,1,,1.63,F
1200,90,2,,1.20,F
1200,90,3,,0.96,T
1200,90,4,,0.93,T
1200,90,5,,0.93,T
1200,90,6,,0.78,T
1200,90,7,,0.83,T
1200,90,8,,3.30,F
1200,90,9,,1.09,F
1200,90,10,,2.48,F
1200,90,11,,1.27,F
600,30,1,,0.98,T
600,30,2,,1.19,F
600,30,3,,0.78,T
600,30,4,,0.66,T
600,30,5,,0.46,T
600,30,6,,0.10,T
600,30,7,,0.39,T
600,30,8,,1.55,F
600,30,9,,1.27,F
600,30,10,,0.91,T
600,30,11,,1.29,F
1000,90,1,,1.28,F
1000,90,2,,1.29,F
1000,90,3,,0.84,T
1000,90,4,,0.82,T
1000,90,5,,0.93,T
1000,90,6,,1.46,F
1000,90,7,,1.02,F
1000,90,8,,1.55,F
1000,90,9,,113.12,F
1000,90,10,,1.45,F
1000,90,11,,0.77,T
1200,30,1,,1.19,F
1200,30,2,,1.03,F
1200,30,3,,1.28,F
1200,30,4,,0.95,T
1200,30,5,,0.83,T
1200,30,6,,1.09,F
1200,30,7,,0.73,T
1200,30,8,,0.81,T
1200,30,9,,5.14,F
1200,30,10,,0.82,T
1200,30,11,,1.35,F
1000,60,1,,1.15,F
1000,60,2,,1.05,F
1000,60,3,,0.67,T
1000,60,4,,0.66,T
1000,60,5,,0.62,T
1000,60,6,,0.71,T
1000,60,7,,1.01,F
1000,60,8,,0.44,T
1000,60,9,,6.40,F
1000,60,10,,0.49,T
1000,60,11,,1.44,F
800,30,1,,1.37,F
800,30,2,,0.91,T
800,30,3,,0.75,T
800,30,4,,0.67,T
800,30,5,,0.93,T
800,30,6,,0.74,T
800,30,7,,-0.25,F
800,30,8,,1.71,F
800,30,9,,12.68,F
800,30,10,,1.49,F
800,30,11,,1.69,F
400,60,1,,1.52,F
400,60,2,,0.87,T
400,60,3,,0.62,T
400,60,4,,0.48,T
400,60,5,,0.08,T
400,60,6,,0.16,T
400,60,7,,-0.57,F
400,60,8,,0.89,T
400,60,9,,1.53,F
400,60,10,,1.54,F
400,60,11,,1.48,F
600,60,1,,1.00,F
600,60,2,,0.78,T
600,60,3,,0.58,T
600,60,4,,0.62,T
600,60,5,,0.74,T
600,60,6,,0.82,T
600,60,7,,0.42,T
600,60,8,,1.05,F
600,60,9,,23.08,F
600,60,10,,1.00,F
600,60,11,,1.71,F
