Distance,Width,Count,CycleRepeat,PositionValue,Success
1200,90,1,,1.35,F
1200,90,2,,-0.34,F
1200,90,3,,1.62,F
1200,90,4,,0.88,T
1200,90,5,,0.85,T
1200,90,6,,1.37,F
1200,90,7,,0.95,T
1200,90,8,,1.39,F
1200,90,9,,1.19,F
1200,90,10,,1.34,F
1200,90,11,,0.67,T
600,90,1,,5.35,F
600,90,2,,-0.21,F
600,90,3,,1.01,F
600,90,4,,1.03,F
600,90,5,,0.91,T
600,90,6,,0.76,T
600,90,7,,0.68,T
600,90,8,,1.37,F
600,90,9,,0.92,T
600,90,10,,1.82,F
600,90,11,,1.78,F
1200,60,1,,1.04,F
1200,60,2,,0.34,T
1200,60,3,,2.08,F
1200,60,4,,0.80,T
1200,60,5,,0.88,T
1200,60,6,,0.99,T
1200,60,7,,0.74,T
1200,60,8,,NaN,F
1200,60,9,,2.29,F
1200,60,10,,-0.31,F
1200,60,11,,0.04,T
1000,60,1,,0.03,T
1000,60,2,,0.04,T
1000,60,3,,0.68,T
1000,60,4,,0.58,T
1000,60,5,,0.97,T
1000,60,6,,0.94,T
1000,60,7,,0.74,T
1000,60,8,,1.57,F
1000,60,9,,0.95,T
1000,60,10,,0.57,T
1000,60,11,,1.52,F
400,90,1,,1.61,F
400,90,2,,0.22,T
400,90,3,,0.31,T
400,90,4,,0.35,T
400,90,5,,0.76,T
400,90,6,,0.84,T
400,90,7,,0.64,T
400,90,8,,1.01,F
400,90,9,,0.81,T
400,90,10,,11.61,F
400,90,11,,0.94,T
1000,90,1,,1.51,F
1000,90,2,,0.55,T
1000,90,3,,1.15,F
1000,90,4,,0.76,T
1000,90,5,,0.87,T
1000,90,6,,1.25,F
1000,90,7,,0.82,T
1000,90,8,,1.35,F
1000,90,9,,1.11,F
1000,90,10,,0.77,T
1000,90,11,,1.01,F
800,60,1,,1.37,F
800,60,2,,0.41,T
800,60,3,,0.85,T
800,60,4,,0.60,T
800,60,5,,1.06,F
800,60,6,,1.21,F
800,60,7,,0.88,T
800,60,8,,1.18,F
800,60,9,,0.47,T
800,60,10,,1.43,F
800,60,11,,1.48,F
800,90,1,,1.13,F
800,90,2,,0.61,T
800,90,3,,1.71,F
800,90,4,,0.72,T
800,90,5,,1.01,F
800,90,6,,1.05,F
800,90,7,,1.02,F
800,90,8,,1.08,F
800,90,9,,0.86,T
800,90,10,,-16.27,F
800,90,11,,-2.28,F
400,60,1,,2.93,F
400,60,2,,0.08,T
400,60,3,,11.25,F
400,60,4,,0.74,T
400,60,5,,0.53,T
400,60,6,,0.94,T
400,60,7,,0.61,T
400,60,8,,0.89,T
400,60,9,,0.91,T
400,60,10,,-0.15,F
400,60,11,,0.14,T
800,30,1,,3.77,F
800,30,2,,0.33,T
800,30,3,,0.91,T
800,30,4,,0.89,T
800,30,5,,0.80,T
800,30,6,,1.18,F
800,30,7,,0.78,T
800,30,8,,0.89,T
800,30,9,,0.92,T
800,30,10,,5.80,F
800,30,11,,-1.61,F
600,60,1,,1.88,F
600,60,2,,0.05,T
600,60,3,,0.72,T
600,60,4,,0.85,T
600,60,5,,0.88,T
600,60,6,,1.17,F
600,60,7,,0.97,T
600,60,8,,0.89,T
600,60,9,,1.24,F
600,60,10,,0.02,T
600,60,11,,-6.55,F
1000,30,1,,3.28,F
1000,30,2,,1.00,F
1000,30,3,,1.48,F
1000,30,4,,1.17,F
1000,30,5,,1.16,F
1000,30,6,,1.84,F
1000,30,7,,1.21,F
1000,30,8,,1.44,F
1000,30,9,,0.99,T
1000,30,10,,1.13,F
1000,30,11,,0.41,T
1200,30,1,,-2.84,F
1200,30,2,,0.75,T
1200,30,3,,1.50,F
1200,30,4,,1.05,F
1200,30,5,,0.97,T
1200,30,6,,1.80,F
1200,30,7,,1.13,F
1200,30,8,,1.42,F
1200,30,9,,0.61,T
1200,30,10,,-0.13,F
1200,30,11,,0.06,T
600,30,1,,3.67,F
600,30,2,,-0.39,F
600,30,3,,0.73,T
600,30,4,,0.47,T
600,30,5,,0.69,T
600,30,6,,1.13,F
600,30,7,,0.81,T
600,30,8,,1.16,F
600,30,9,,0.63,T
600,30,10,,0.40,T
600,30,11,,0.44,T
400,30,1,,1.47,F
400,30,2,,0.07,T
400,30,3,,0.66,T
400,30,4,,0.96,T
400,30,5,,1.01,F
400,30,6,,1.02,F
400,30,7,,0.83,T
400,30,8,,1.00,F
400,30,9,,0.48,T
400,30,10,,0.12,T
400,30,11,,-2.85,F
