Distance,Width,Count,PositionValue,Success
800,60,1,-12.45,F
800,60,2,-2.09,F
800,60,3,-3.86,F
800,60,4,-1.33,F
800,60,5,-0.10,F
800,60,6,-0.09,F
800,60,7,0.03,T
800,60,8,0.13,T
800,60,9,0.29,T
800,60,10,0.46,T
800,60,11,0.60,T
1200,90,1,NaN,F
1200,90,2,-6.22,F
1200,90,3,-0.88,F
1200,90,4,-0.42,F
1200,90,5,-0.06,F
1200,90,6,-0.10,F
1200,90,7,0.04,T
1200,90,8,0.02,T
1200,90,9,NaN,F
1200,90,10,NaN,F
1200,90,11,NaN,F
400,60,1,1.90,F
400,60,2,-2.44,F
400,60,3,-1.19,F
400,60,4,-0.46,F
400,60,5,-0.21,F
400,60,6,-0.32,F
400,60,7,-0.26,F
400,60,8,-0.38,F
400,60,9,-0.38,F
400,60,10,0.99,T
400,60,11,1.90,F
1000,60,1,1.69,F
1000,60,2,-0.12,F
1000,60,3,0.20,T
1000,60,4,0.13,T
1000,60,5,0.22,T
1000,60,6,0.29,T
1000,60,7,0.17,T
1000,60,8,0.28,T
1000,60,9,0.44,T
1000,60,10,1.12,F
1000,60,11,2.41,F
1000,90,1,2.30,F
1000,90,2,-0.84,F
1000,90,3,-0.94,F
1000,90,4,-0.57,F
1000,90,5,-0.29,F
1000,90,6,-0.39,F
1000,90,7,-0.11,F
1000,90,8,-0.11,F
1000,90,9,0.21,T
1000,90,10,0.33,T
1000,90,11,NaN,F
800,90,1,0.72,T
800,90,2,-0.93,F
800,90,3,-1.38,F
800,90,4,-1.21,F
800,90,5,-0.56,F
800,90,6,-0.17,F
800,90,7,0.42,T
800,90,8,0.11,T
800,90,9,-0.02,F
800,90,10,0.62,T
800,90,11,2.26,F
400,90,1,-7.63,F
400,90,2,-0.64,F
400,90,3,-1.14,F
400,90,4,-0.84,F
400,90,5,-0.45,F
400,90,6,-0.15,F
400,90,7,0.07,T
400,90,8,-0.09,F
400,90,9,-0.49,F
400,90,10,-1.06,F
400,90,11,0.38,T
1000,30,1,-0.77,F
1000,30,2,0.28,T
1000,30,3,0.37,T
1000,30,4,0.28,T
1000,30,5,0.21,T
1000,30,6,0.30,T
1000,30,7,0.16,T
1000,30,8,0.23,T
1000,30,9,0.31,T
1000,30,10,0.45,T
1000,30,11,-0.51,F
1200,60,1,-0.47,F
1200,60,2,-0.67,F
1200,60,3,-0.53,F
1200,60,4,-0.31,F
1200,60,5,-0.05,F
1200,60,6,-0.03,F
1200,60,7,0.09,T
1200,60,8,0.04,T
1200,60,9,0.17,T
1200,60,10,0.02,T
1200,60,11,0.52,T
400,30,1,-0.26,F
400,30,2,-0.33,F
400,30,3,-1.11,F
400,30,4,-1.08,F
400,30,5,-0.63,F
400,30,6,-0.64,F
400,30,7,-0.26,F
400,30,8,0.15,T
400,30,9,0.12,T
400,30,10,0.80,T
400,30,11,1.14,F
600,90,1,2.04,F
600,90,2,-0.47,F
600,90,3,0.09,T
600,90,4,-0.01,F
600,90,5,0.01,T
600,90,6,-0.03,F
600,90,7,0.15,T
600,90,8,0.27,T
600,90,9,0.00,T
600,90,10,0.26,T
600,90,11,-12.00,F
1200,30,1,1.48,F
1200,30,2,-0.04,F
1200,30,3,0.26,T
1200,30,4,0.09,T
1200,30,5,0.10,T
1200,30,6,0.19,T
1200,30,7,0.28,T
1200,30,8,0.32,T
1200,30,9,0.42,T
1200,30,10,0.16,T
1200,30,11,2.84,F
600,60,1,-0.23,F
600,60,2,-0.33,F
600,60,3,-0.47,F
600,60,4,-0.35,F
600,60,5,-0.21,F
600,60,6,-0.32,F
600,60,7,-0.20,F
600,60,8,-0.16,F
600,60,9,-0.14,F
600,60,10,0.30,T
600,60,11,-23.59,F
800,30,1,-0.50,F
800,30,2,-0.32,F
800,30,3,-0.29,F
800,30,4,-0.27,F
800,30,5,-0.19,F
800,30,6,-0.10,F
800,30,7,-0.11,F
800,30,8,-0.02,F
800,30,9,-0.00,F
800,30,10,-0.20,F
800,30,11,-0.18,F
600,30,1,-0.10,F
600,30,2,-0.23,F
600,30,3,-0.17,F
600,30,4,-0.17,F
600,30,5,-0.29,F
600,30,6,-0.38,F
600,30,7,-0.27,F
600,30,8,-0.30,F
600,30,9,-0.19,F
600,30,10,-0.29,F
600,30,11,-0.67,F
