Distance,Width,Count,PositionValue,Success
400,60,1,1.24,F
400,60,2,0.35,T
400,60,3,0.68,T
400,60,4,0.29,T
400,60,5,0.19,T
400,60,6,0.48,T
400,60,7,0.23,T
400,60,8,0.06,T
400,60,9,-0.34,F
400,60,10,-1.62,F
400,60,11,-3.07,F
800,60,1,4.88,F
800,60,2,2.65,F
800,60,3,2.76,F
800,60,4,2.37,F
800,60,5,1.09,F
800,60,6,0.95,T
800,60,7,0.91,T
800,60,8,1.00,T
800,60,9,0.53,T
800,60,10,-0.52,F
800,60,11,-3.36,F
800,90,1,5.99,F
800,90,2,3.02,F
800,90,3,1.94,F
800,90,4,0.88,T
800,90,5,0.64,T
800,90,6,0.86,T
800,90,7,0.24,T
800,90,8,0.31,T
800,90,9,-0.65,F
800,90,10,-1.81,F
800,90,11,6.72,F
1000,30,1,-6.14,F
1000,30,2,4.41,F
1000,30,3,0.91,T
1000,30,4,1.08,F
1000,30,5,0.74,T
1000,30,6,0.86,T
1000,30,7,0.37,T
1000,30,8,0.43,T
1000,30,9,0.17,T
1000,30,10,-0.31,F
1000,30,11,-0.72,F
600,60,1,-5.72,F
600,60,2,1.27,F
600,60,3,2.24,F
600,60,4,1.39,F
600,60,5,0.32,T
600,60,6,0.23,T
600,60,7,0.16,T
600,60,8,-0.06,F
600,60,9,-0.42,F
600,60,10,-0.58,F
600,60,11,-1.49,F
1000,60,1,5.67,F
1000,60,2,5.43,F
1000,60,3,1.90,F
1000,60,4,1.41,F
1000,60,5,0.72,T
1000,60,6,1.15,F
1000,60,7,0.50,T
1000,60,8,0.22,T
1000,60,9,0.16,T
1000,60,10,0.09,T
1000,60,11,0.15,T
1000,90,1,-1.44,F
1000,90,2,3.76,F
1000,90,3,2.07,F
1000,90,4,7.56,F
1000,90,5,3.30,F
1000,90,6,2.61,F
1000,90,7,1.36,F
1000,90,8,0.71,T
1000,90,9,0.36,T
1000,90,10,0.21,T
1000,90,11,-0.08,F
600,90,1,-1.39,F
600,90,2,3.85,F
600,90,3,3.63,F
600,90,4,0.86,T
600,90,5,0.13,T
600,90,6,0.25,T
600,90,7,0.38,T
600,90,8,0.30,T
600,90,9,-0.08,F
600,90,10,-0.10,F
600,90,11,-0.54,F
400,90,1,-0.80,F
400,90,2,-9.94,F
400,90,3,-0.11,F
400,90,4,-0.82,F
400,90,5,-0.28,F
400,90,6,0.05,T
400,90,7,0.14,T
400,90,8,0.04,T
400,90,9,-0.19,F
400,90,10,-0.04,F
400,90,11,-0.49,F
1200,30,1,-1.25,F
1200,30,2,-3.48,F
1200,30,3,5.18,F
1200,30,4,2.11,F
1200,30,5,2.96,F
1200,30,6,2.40,F
1200,30,7,1.40,F
1200,30,8,1.18,F
1200,30,9,0.49,T
1200,30,10,0.29,T
1200,30,11,-0.16,F
800,30,1,-1.80,F
800,30,2,10.16,F
800,30,3,2.45,F
800,30,4,1.47,F
800,30,5,0.42,T
800,30,6,0.42,T
800,30,7,0.48,T
800,30,8,0.43,T
800,30,9,0.16,T
800,30,10,0.17,T
800,30,11,-0.18,F
1200,90,1,NaN,F
1200,90,2,-20.83,F
1200,90,3,1.31,F
1200,90,4,0.62,T
1200,90,5,0.16,T
1200,90,6,0.92,T
1200,90,7,0.56,T
1200,90,8,0.75,T
1200,90,9,0.15,T
1200,90,10,-0.15,F
1200,90,11,-0.21,F
600,30,1,-1.05,F
600,30,2,5.39,F
600,30,3,1.79,F
600,30,4,0.14,T
600,30,5,0.38,T
600,30,6,0.37,T
600,30,7,0.26,T
600,30,8,0.59,T
600,30,9,0.24,T
600,30,10,-0.17,F
600,30,11,-0.30,F
400,30,1,3.18,F
400,30,2,-0.44,F
400,30,3,0.17,T
400,30,4,-0.41,F
400,30,5,-0.17,F
400,30,6,-0.01,F
400,30,7,0.02,T
400,30,8,0.09,T
400,30,9,-0.26,F
400,30,10,-0.29,F
400,30,11,-0.72,F
1200,60,1,-1.19,F
1200,60,2,-9.68,F
1200,60,3,7.13,F
1200,60,4,3.54,F
1200,60,5,2.18,F
1200,60,6,1.77,F
1200,60,7,1.29,F
1200,60,8,3.71,F
1200,60,9,0.82,T
1200,60,10,0.10,T
1200,60,11,-2.08,F
