Distance,Width,Count,PositionValue,Success
1200,90,1,1.89,F
1200,90,2,0.74,T
1200,90,3,0.74,T
1200,90,4,0.68,T
1200,90,5,1.17,F
1200,90,6,2.36,F
1200,90,7,1.47,F
1200,90,8,2.01,F
1200,90,9,1.30,F
1200,90,10,4.38,F
1200,90,11,0.38,T
400,60,1,-12.54,F
400,60,2,0.08,T
400,60,3,0.15,T
400,60,4,0.05,T
400,60,5,0.27,T
400,60,6,0.25,T
400,60,7,0.14,T
400,60,8,0.62,T
400,60,9,0.37,T
400,60,10,0.91,T
400,60,11,1.01,F
600,30,1,2.31,F
600,30,2,-1.04,F
600,30,3,0.30,T
600,30,4,0.48,T
600,30,5,0.59,T
600,30,6,1.01,F
600,30,7,0.83,T
600,30,8,0.65,T
600,30,9,0.78,T
600,30,10,0.91,T
600,30,11,0.98,T
800,90,1,-1.38,F
800,90,2,0.67,T
800,90,3,0.48,T
800,90,4,0.72,T
800,90,5,0.91,T
800,90,6,0.89,T
800,90,7,1.24,F
800,90,8,2.05,F
800,90,9,0.92,T
800,90,10,1.78,F
800,90,11,5.86,F
1200,60,1,5.12,F
1200,60,2,0.14,T
1200,60,3,0.57,T
1200,60,4,0.76,T
1200,60,5,1.07,F
1200,60,6,1.55,F
1200,60,7,1.17,F
1200,60,8,2.96,F
1200,60,9,1.33,F
1200,60,10,3.40,F
1200,60,11,0.18,T
400,30,1,1.04,F
400,30,2,0.32,T
400,30,3,0.09,T
400,30,4,0.57,T
400,30,5,0.65,T
400,30,6,0.77,T
400,30,7,0.75,T
400,30,8,1.24,F
400,30,9,0.73,T
400,30,10,0.71,T
400,30,11,0.33,T
600,90,1,-0.47,F
600,90,2,0.04,T
600,90,3,0.02,T
600,90,4,0.34,T
600,90,5,0.56,T
600,90,6,0.89,T
600,90,7,1.63,F
600,90,8,1.19,F
600,90,9,0.72,T
600,90,10,1.67,F
600,90,11,5.22,F
800,60,1,-1.15,F
800,60,2,0.47,T
800,60,3,0.09,T
800,60,4,0.50,T
800,60,5,0.58,T
800,60,6,0.67,T
800,60,7,1.16,F
800,60,8,1.50,F
800,60,9,1.43,F
800,60,10,-10.60,F
800,60,11,-1.61,F
1000,90,1,-2.73,F
1000,90,2,0.25,T
1000,90,3,0.47,T
1000,90,4,0.51,T
1000,90,5,0.61,T
1000,90,6,0.72,T
1000,90,7,0.88,T
1000,90,8,1.65,F
1000,90,9,0.64,T
1000,90,10,1.63,F
1000,90,11,7.30,F
1000,30,1,2.79,F
1000,30,2,-0.30,F
1000,30,3,0.33,T
1000,30,4,0.57,T
1000,30,5,0.78,T
1000,30,6,0.97,T
1000,30,7,1.08,F
1000,30,8,1.78,F
1000,30,9,1.46,F
1000,30,10,2.68,F
1000,30,11,-3.61,F
800,30,1,-3.77,F
800,30,2,-0.24,F
800,30,3,-0.08,F
800,30,4,0.63,T
800,30,5,0.55,T
800,30,6,0.45,T
800,30,7,0.66,T
800,30,8,0.86,T
800,30,9,0.92,T
800,30,10,1.53,F
800,30,11,26.99,F
1000,60,1,-0.06,F
1000,60,2,0.35,T
1000,60,3,1.72,F
1000,60,4,0.10,T
1000,60,5,0.54,T
1000,60,6,0.69,T
1000,60,7,0.75,T
1000,60,8,1.60,F
1000,60,9,1.08,F
1000,60,10,4.15,F
1000,60,11,-0.07,F
1200,30,1,-0.09,F
1200,30,2,-0.17,F
1200,30,3,0.48,T
1200,30,4,1.00,T
1200,30,5,1.18,F
1200,30,6,0.74,T
1200,30,7,1.09,F
1200,30,8,1.51,F
1200,30,9,1.17,F
1200,30,10,3.72,F
1200,30,11,-4.56,F
400,90,1,0.11,T
400,90,2,0.53,T
400,90,3,0.27,T
400,90,4,0.20,T
400,90,5,0.39,T
400,90,6,0.56,T
400,90,7,0.41,T
400,90,8,0.52,T
400,90,9,0.01,T
400,90,10,-0.73,F
400,90,11,0.30,T
600,60,1,-1.13,F
600,60,2,-0.18,F
600,60,3,0.08,T
600,60,4,0.15,T
600,60,5,0.35,T
600,60,6,0.44,T
600,60,7,0.79,T
600,60,8,0.90,T
600,60,9,0.70,T
600,60,10,1.19,F
600,60,11,2.40,F
