Distance,Width,Count,CycleRepeat,PositionValue,Success
1200,30,1,,-0.02,F
1200,30,2,,-0.13,F
1200,30,3,,0.12,T
1200,30,4,,0.46,T
1200,30,5,,0.45,T
1200,30,6,,0.68,T
1200,30,7,,0.69,T
1200,30,8,,0.76,T
1200,30,9,,1.27,F
1200,30,10,,0.95,T
1200,30,11,,-1.26,F
1000,60,1,,-0.06,F
1000,60,2,,0.41,T
1000,60,3,,0.52,T
1000,60,4,,0.85,T
1000,60,5,,0.78,T
1000,60,6,,0.85,T
1000,60,7,,0.91,T
1000,60,8,,0.84,T
1000,60,9,,1.69,F
1000,60,10,,5.33,F
1000,60,11,,6.38,F
1000,90,1,,-1.26,F
1000,90,2,,0.18,T
1000,90,3,,0.07,T
1000,90,4,,0.54,T
1000,90,5,,0.72,T
1000,90,6,,0.73,T
1000,90,7,,0.67,T
1000,90,8,,1.22,F
1000,90,9,,3.59,F
1000,90,10,,-1.39,F
1000,90,11,,-0.30,F
1000,30,1,,-0.03,F
1000,30,2,,0.26,T
1000,30,3,,0.29,T
1000,30,4,,0.55,T
1000,30,5,,1.40,F
1000,30,6,,1.32,F
1000,30,7,,1.26,F
1000,30,8,,1.09,F
1000,30,9,,1.26,F
1000,30,10,,4.96,F
1000,30,11,,-1.73,F
800,60,1,,-0.49,F
800,60,2,,-0.02,F
800,60,3,,0.23,T
800,60,4,,0.46,T
800,60,5,,0.73,T
800,60,6,,0.95,T
800,60,7,,0.76,T
800,60,8,,0.58,T
800,60,9,,1.31,F
800,60,10,,-0.96,F
800,60,11,,0.16,T
1200,90,1,,0.04,T
1200,90,2,,0.53,T
1200,90,3,,0.19,T
1200,90,4,,0.43,T
1200,90,5,,0.86,T
1200,90,6,,0.95,T
1200,90,7,,1.20,F
1200,90,8,,0.93,T
1200,90,9,,7.14,F
1200,90,10,,-1.09,F
1200,90,11,,0.31,T
600,60,1,,0.15,T
600,60,2,,0.54,T
600,60,3,,0.32,T
600,60,4,,0.64,T
600,60,5,,0.91,T
600,60,6,,0.83,T
600,60,7,,1.36,F
600,60,8,,1.41,F
600,60,9,,0.76,T
600,60,10,,0.57,T
600,60,11,,0.47,T
600,90,1,,-4.56,F
600,90,2,,0.45,T
600,90,3,,0.81,T
600,90,4,,0.53,T
600,90,5,,0.91,T
600,90,6,,0.94,T
600,90,7,,1.26,F
600,90,8,,0.90,T
600,90,9,,1.37,F
600,90,10,,0.06,T
600,90,11,,-1.16,F
400,90,1,,0.11,T
400,90,2,,0.17,T
400,90,3,,0.31,T
400,90,4,,0.29,T
400,90,5,,0.27,T
400,90,6,,0.58,T
400,90,7,,0.78,T
400,90,8,,0.91,T
400,90,9,,2.03,F
400,90,10,,0.36,T
400,90,11,,0.33,T
800,90,1,,0.06,T
800,90,2,,0.19,T
800,90,3,,0.39,T
800,90,4,,0.57,T
800,90,5,,0.86,T
800,90,6,,1.35,F
800,90,7,,1.23,F
800,90,8,,0.50,T
800,90,9,,2.52,F
800,90,10,,-0.07,F
800,90,11,,-0.18,F
800,30,1,,-0.18,F
800,30,2,,0.21,T
800,30,3,,0.48,T
800,30,4,,0.65,T
800,30,5,,0.79,T
800,30,6,,0.85,T
800,30,7,,1.28,F
800,30,8,,0.88,T
800,30,9,,1.49,F
800,30,10,,0.02,T
800,30,11,,-0.11,F
400,60,1,,0.20,T
400,60,2,,0.32,T
400,60,3,,0.48,T
400,60,4,,0.29,T
400,60,5,,0.43,T
400,60,6,,0.47,T
400,60,7,,0.51,T
400,60,8,,0.19,T
400,60,9,,1.14,F
400,60,10,,0.86,T
400,60,11,,0.44,T
600,30,1,,0.15,T
600,30,2,,0.41,T
600,30,3,,0.43,T
600,30,4,,0.59,T
600,30,5,,0.63,T
600,30,6,,0.64,T
600,30,7,,0.62,T
600,30,8,,0.44,T
600,30,9,,1.44,F
600,30,10,,-0.27,F
600,30,11,,0.18,T
1200,60,1,,0.52,T
1200,60,2,,0.55,T
1200,60,3,,0.54,T
1200,60,4,,0.74,T
1200,60,5,,0.80,T
1200,60,6,,1.02,F
1200,60,7,,1.82,F
1200,60,8,,0.89,T
1200,60,9,,1.64,F
1200,60,10,,-1.82,F
1200,60,11,,-1.02,F
400,30,1,,0.34,T
400,30,2,,0.43,T
400,30,3,,0.60,T
400,30,4,,0.77,T
400,30,5,,0.42,T
400,30,6,,0.44,T
400,30,7,,0.18,T
400,30,8,,-0.09,F
400,30,9,,0.68,T
400,30,10,,0.81,T
400,30,11,,0.70,T
