Distance,Width,Count,PositionValue,Success,Angle0,Angle1,Angle2,Angle3,Angle4,Angle5,Angle6,Angle7,Angle8,Angle9
400,60,1,0.64,T,18.573687,5.8731213,0.0,0.0,0.0,0.60128736,0.0,0.0,0.0,4.896738
400,60,2,0.56,T,68.413666,52.777485,40.686703,-22.186327,-15.010335,-9.956565,-7.4266486,-5.316056,-1.4844817,-2.7845652
400,60,3,0.24,T,11.660334,1.1058197,7.74916,0.0,12.830037,13.576477,13.001052,12.46386,11.532083,11.025298
400,60,4,0.41,T,-34.60176,-13.91908,0.0,0.0,-13.524631,0.0,-13.524095,-13.063764,-11.893327,0.0
400,60,5,0.31,T,12.509342,4.1572394,0.0,1.8563279,0.0,2.9802737,1.3395368,13.04494,10.631353,9.654667
400,60,6,0.67,T,-28.926369,-20.895987,-19.057695,-12.778736,0.0,-10.465882,-9.700079,0.0,-10.535757,0.0
400,60,7,0.86,T,9.952109,0.0,0.0,0.0,6.2270913,5.2144694,4.798171,4.0737395,4.727743,0.0
400,60,8,0.87,T,-6.533508,-10.084776,-3.10307,-0.21062416,-2.8886366,-4.218556,-4.087028,-3.5478299,-0.4943068,0.0
400,60,9,0.82,T,24.712482,4.2809305,0.0,11.838357,0.0,15.308398,0.0,16.296955,0.0,0.0
400,60,10,-2.30,F,-4.9528055,-0.38078842,-9.703001,25.467188,-13.134924,33.86281,36.699455,35.10815,-16.047853,0.0
400,60,11,4.11,F,48.425396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
