Distance,Width,Count,PositionValue,Success,MAE0,MAE1,MAE2,MAE3,MAE4,MAE5,MAE6,MAE7,MAE8,MAE9,MAE10,Angle0,Angle1,Angle2,Angle3,Angle4,Angle5,Angle6,Angle7,Angle8,Angle9
400,90,1,1.85,F,45.149082,40.67686,36.204643,31.732449,27.260244,22.788023,18.315815,13.84361,10.351129,10.989922,11.990128,-24.791712,-17.97554,-11.765171,7.656271,3.6944866,0.0,1.1343167,0.6465262,2.9909086,1.7916524
400,90,2,0.42,T,22.819431,16.42588,10.032363,4.699416,5.231593,11.17013,17.192501,23.288717,29.384897,35.481125,41.57734,-9.571535,-13.092699,0.0,-13.883125,-12.858876,-11.820723,-10.968892,-10.159241,-9.244494,-9.520896
400,90,3,1.02,T,67.74232,60.8951,54.04788,47.20158,40.35568,33.510815,26.666977,19.825176,12.984794,6.1466646,1.3340132,9.9458685,0.0,8.844462,0.0,0.0,8.803618,9.572339,0.0,0.0,0.0
400,90,4,0.95,T,24.421127,20.18405,15.947013,11.709865,7.4727683,6.852862,7.7832127,10.072656,12.479096,15.467796,18.948454,-10.222991,0.0,-6.054968,0.0,-1.0978235,0.0,-3.4709303,0.0,0.0,0.0
400,90,5,0.65,T,8.476997,10.878598,13.28022,15.681821,18.083439,20.485052,22.886658,25.288267,27.689875,30.091492,32.4931,12.987278,0.0,12.133809,0.0,10.8922205,0.0,0.0,10.009157,9.340023,0.0
400,90,6,0.96,T,10.39445,10.544445,10.694448,10.844445,10.9944515,11.144447,11.294446,11.444445,11.594452,11.744449,11.894448,-2.242972,0.0,-5.9965677,0.0,-7.0577226,0.0,-6.871941,-6.6456347,0.0,0.0
400,90,7,1.67,F,25.375692,24.443691,23.511686,22.579672,21.647661,20.71566,19.783655,18.851662,17.919645,16.987629,16.055637,25.928595,23.24377,17.520937,0.0,13.651765,11.8014345,11.378118,0.0,0.0,0.0
400,90,8,1.59,F,3.688764,3.2665114,2.8442822,2.4245722,2.0060842,1.588684,1.1730345,1.2315431,1.4700373,1.7085379,1.9470325,-11.669438,-7.3728456,0.0,-3.2564573,0.0,0.0,-1.7263558,0.0,0.0,0.0
400,90,9,0.22,T,7.360778,6.90978,6.5001245,6.090464,5.680807,5.2711506,4.8614883,4.4518375,4.4385433,4.4635444,4.4885545,2.2105246,3.0983465,0.0,0.0,0.49141604,0.0,2.2634408,0.0,3.4225535,0.0
400,90,10,0.28,T,13.168774,11.479826,9.793026,8.106263,6.4195013,4.732762,3.0459986,1.3592551,1.3943877,2.2959938,3.786536,-0.80653894,-4.675714,0.0,0.0,-2.693889,0.0,-2.5546093,0.0,0.0,0.0
400,90,11,0.85,T,46.255215,41.507378,36.759594,32.01173,27.263906,22.51609,17.768257,13.029992,8.297275,3.786256,1.6960459,10.214779,0.0,0.0,10.436172,0.0,10.367108,0.0,9.356442,0.0,0.0
600,90,1,1.07,T,95.143555,85.74886,76.35418,66.959496,57.564823,48.170147,38.778503,29.38974,20.001148,11.695801,5.6301184,0.07496646,0.980824,1.430929,0.0,3.6358273,0.0,6.200196,6.5278873,0.0,0.0
600,90,2,1.21,T,81.04295,73.16455,65.28611,57.407696,49.529316,41.65555,33.781807,25.90803,18.03422,10.160486,2.2867186,-2.0189998,-4.058826,-3.9451897,0.0,-3.6327841,0.0,-2.9980402,-2.9059973,0.0,0.0
600,90,3,1.00,T,48.21612,40.668053,33.120033,25.57203,18.023993,12.301052,10.419122,10.68224,12.942453,19.82603,27.371553,13.438525,0.0,13.57331,0.0,0.0,11.988531,0.0,8.91947,2.6522694,0.0
600,90,4,1.46,T,73.63309,67.80238,61.971573,56.14083,50.31012,44.479355,38.64863,32.81786,26.987106,21.15637,15.325621,-14.41574,0.0,-12.871907,0.0,-11.681732,0.0,-9.272497,-8.636772,0.0,0.0
600,90,5,1.29,T,28.681244,26.182987,23.68472,21.186468,18.688221,16.189945,13.693233,11.197605,8.701949,6.206286,3.710682,9.597383,6.0659857,0.0,2.7685935,0.0,0.0,1.9724748,0.0,0.0,0.0
600,90,6,1.68,F,5.4308248,5.1605787,4.89034,4.6200924,4.3873467,4.3608527,4.3343587,4.3078637,4.281368,4.254875,4.2283773,-8.690787,0.0,-3.6340375,0.0,0.0,-0.46958286,0.0,-0.67103475,0.0,0.0
600,90,7,1.29,T,14.420166,13.025698,11.631263,10.236816,8.842398,7.447915,6.0534906,4.659029,3.3973188,3.409833,3.6658587,3.3648653,0.0,0.0,1.2524005,0.0,0.0,0.57839936,0.0,0.0,0.0
600,90,8,2.53,F,15.901606,14.612231,13.322884,12.033571,10.744213,9.454876,8.165551,6.8777957,5.593444,4.3112373,3.029108,-1.4422107,-0.93536896,0.0,0.0,-1.3127367,0.0,-2.2580004,-1.7697005,0.0,0.0
600,90,9,-1.44,F,7.7808275,9.768877,11.756904,13.744908,15.732953,17.809055,19.912735,22.056969,24.201298,26.345455,28.489735,20.824932,0.0,18.385563,15.389831,0.0,11.725609,8.5372505,0.0,0.0,0.0
