Distance,Width,Count,PositionValue,Success,MAE0,MAE1,MAE2,MAE3,MAE4,MAE5,MAE6,MAE7,MAE8,MAE9,MAE10,Angle0,Angle1,Angle2,Angle3,Angle4,Angle5,Angle6,Angle7,Angle8,Angle9,cpi
300,60,1,0.72,T,23.496439,19.874535,16.262724,12.687541,9.117722,5.723243,2.6340923,2.0875084,5.6935234,9.330147,12.966771,2.843279,1.6358535,0.0,0.9992056,2.3843699,0.0,3.1691995,3.6526961,4.496683,0.0,70
300,60,2,0.92,T,30.471546,26.994417,23.517302,20.040173,16.563051,13.085924,9.748236,6.461372,3.5844169,2.6480525,5.788046,-11.155342,-0.3670456,0.0,-3.8958154,-5.6451545,0.0,-6.740283,-7.4272027,-8.099486,0.0,90
300,60,3,0.87,T,37.1611,33.591187,30.021257,26.451347,22.881449,19.311531,15.741589,12.171698,8.601781,5.031865,4.1286163,20.771704,14.45604,11.002666,0.0,9.28376,0.0,8.8814535,0.0,9.025111,10.095184,100
300,60,4,0.92,T,37.427395,33.677757,29.928137,26.178507,22.428879,18.679234,14.92959,11.17997,7.434294,3.742001,2.219055,-7.4701843,-1.2739859,-5.7856097,0.0,-8.363484,-9.463534,-10.123266,0.0,0.0,0.0,100
300,60,5,1.02,T,34.014908,31.25612,28.497347,25.74144,22.992363,20.24458,17.501728,14.763744,12.025749,9.289241,6.5531573,21.210081,20.19096,18.856876,17.362595,0.0,15.726381,13.962352,10.779987,0.0,0.0,100
300,60,6,0.86,T,32.53297,30.298119,28.063242,25.828419,23.593544,21.358692,19.123844,16.888977,14.654112,12.419306,10.184426,-39.721775,-29.830996,-21.709776,-15.856589,-11.533651,-9.030218,-7.6135664,-7.147314,0.0,0.0,100
300,60,7,0.97,T,2.5941963,1.754794,0.9188338,0.39340305,0.8989772,1.6948302,2.5154278,3.3360207,4.1566114,4.994202,5.8353953,0.49095285,2.1911192,0.0,2.1416876,1.75136,0.0,1.5385747,1.362222,0.0,0.0,30
300,60,8,1.56,F,5.6931963,5.5242624,5.355326,5.18639,5.0174537,4.848518,4.6795816,4.5106425,4.341709,4.1727676,4.003835,-14.287146,-10.556857,-7.2233677,0.0,-4.2115088,-3.3591979,-2.0668526,-0.8346536,0.0,0.0,100
300,60,9,1.14,T,12.260865,11.713186,11.165501,10.617821,10.070144,9.522459,8.974778,8.427101,7.879419,7.3317366,6.784054,17.040958,13.755074,11.269519,0.0,8.541392,6.3739467,4.9435315,4.248773,0.0,0.0,100
300,60,10,0.43,T,1.1750315,1.279591,1.669003,2.2131116,2.854239,3.495371,4.1365027,4.777636,5.4841537,6.1943717,6.912902,-2.4080353,0.0,-1.9506264,-2.4558063,-2.30312,0.0,-2.3224967,0.0,-1.9680614,-1.6483884,0
300,60,11,0.28,T,9.103678,9.329985,9.556299,9.783349,10.011725,10.415314,10.900409,11.385516,11.870614,12.355715,12.840814,41.908237,29.771072,18.835175,0.0,9.683976,3.8122852,0.0,0.3193792,4.305887,0.0,0
300,60,12,0.06,T,5.053341,4.9017167,5.0631547,5.3701243,5.6770616,6.1062536,6.610658,7.115067,7.651135,8.328554,9.005974,-11.04626,-11.444006,-10.501332,0.0,-7.93236,0.0,-4.4977326,-2.3782794,-0.17134805,0.0,10
300,60,13,0.49,T,12.319089,10.154722,8.300665,6.5408754,5.29351,4.386428,5.061849,7.7563715,10.450831,13.145329,15.839808,15.210503,12.641641,8.62791,0.0,4.8624763,2.4234984,0.0,0.5196711,0.89009917,0.0,50
300,60,14,0.55,T,12.534608,10.694866,8.855119,7.015371,5.175628,3.3614466,1.5634774,0.80503213,2.4293573,4.154285,5.908069,-2.9647279,-0.26152977,-1.6296458,-2.347196,0.0,-2.6466708,0.0,-2.724485,-3.0934181,0.0,70
300,60,15,0.49,T,24.337065,19.97022,15.603394,11.236544,6.8697047,2.6510165,4.6242537,8.963967,13.303691,17.643415,21.983154,2.4114618,0.7324733,0.0,0.98219204,1.035502,1.0818932,0.8256176,0.45239463,0.47299105,0.0,50
900,60,1,0.80,T,102.12341,89.38586,76.71851,64.05117,51.383835,39.126606,27.456968,17.701565,12.522485,18.863396,31.997742,11.139941,10.593788,6.0447965,0.7750021,0.0,2.1993096,4.2255015,-7.7162495,0.0,0.0,80
900,60,2,1.06,T,88.432625,79.2,69.96734,60.7347,51.502075,42.322952,33.366924,24.410877,15.528824,7.612196,7.4055853,-11.460987,-4.0488596,-0.13127044,-3.3013997,-5.137277,-6.920983,-8.519336,-8.69487,0.0,0.0,100
