Distance,Width,Count,PositionValue,Success,MAE0,MAE1,MAE2,MAE3,MAE4,MAE5,MAE6,MAE7,MAE8,MAE9,MAE10,Angle0,Angle1,Angle2,Angle3,Angle4,Angle5,Angle6,Angle7,Angle8,Angle9,cpi
300,120,1,0.32,T,22.47745,15.76405,9.864452,5.5482855,10.217846,18.265491,26.325853,34.38618,42.44651,50.506874,58.56728,1.9459417,3.9256608,7.5003557,12.642073,12.285624,5.801702,5.7342386,6.114789,3.4491985,4.3798156,30
300,120,2,0.68,T,75.12651,63.4731,51.819744,40.166367,28.513016,16.859638,5.388184,6.5355797,18.141857,29.776276,41.416866,-3.7523832,-4.726332,-6.2066727,-6.539053,-6.669816,-7.774961,-7.2818446,-3.8539634,-5.972858,0.0,60
300,120,3,0.70,T,55.10672,46.25513,37.403545,28.551975,20.382406,13.702398,7.9549856,7.8820033,15.71913,24.571846,33.424564,3.9620662,5.405309,6.7242475,7.1326165,0.55336756,5.907149,8.553731,6.2334704,0.0,0.0,70
300,120,4,0.73,T,56.744286,48.266647,39.789036,31.311428,22.833843,14.356242,6.6163635,7.377718,13.626912,21.00699,28.866213,-34.668415,-22.405367,0.0,-14.707345,-8.336207,-6.9178476,-4.4014716,-2.8281128,0.0,0.0,60
300,120,5,0.93,T,39.554977,33.99103,28.609385,23.774824,19.219646,15.015498,11.17759,7.695259,5.9486494,10.527925,16.092297,6.6895585,7.881978,8.388191,7.346025,2.0884354,8.497639,8.449782,7.5109444,0.0,0.0,80
300,120,6,1.07,T,31.719074,27.518251,23.317438,19.11669,14.915888,10.7151165,6.514303,2.7389963,3.9071743,7.6475477,11.419055,-27.277775,-15.058051,-10.937951,-6.1586742,-5.3069797,-4.6668525,-3.446118,0.0,0.0,0.0,70
300,120,7,1.17,T,13.687776,12.154342,10.752352,9.609604,8.747109,8.0481,7.487323,6.970679,6.5556564,6.235796,5.9810247,6.4421725,3.5744867,3.112547,2.8352773,1.6456784,6.8705015,7.412259,4.3535595,0.0,0.0,100
300,120,8,1.16,T,12.543747,12.250874,11.957996,11.66513,11.37225,11.079381,10.786498,10.493633,10.200753,9.9078865,9.615004,-5.465812,0.0,-5.2491755,-4.8653574,-4.4928665,-4.5981045,-4.7331424,-5.8988037,0.0,0.0,100
300,120,9,1.17,T,16.412836,17.206564,18.000326,18.794064,19.587824,20.381567,21.175312,21.969053,22.762806,23.556545,24.350292,13.73115,12.709313,12.03186,11.695014,10.889714,9.172659,9.337731,8.252942,0.0,0.0,0
300,120,10,1.31,T,3.534892,3.9947894,4.462572,4.954815,5.504456,6.0681453,6.6321154,7.1961064,7.7601027,8.324092,8.888085,-5.0439763,-5.1384735,0.0,-5.709576,-4.077072,-0.95786566,-2.6372852,-3.247587,0.0,0.0,0
300,120,11,8.63,F,14.21674,14.123737,14.034157,13.944532,13.854926,13.765294,13.675679,13.591785,13.514201,13.436687,13.359121,17.145144,6.667083,6.7927413,4.2630725,4.499808,8.234304,7.0834966,4.984024,0.0,0.0,100
