Distance,Width,Count,PositionValue,Success,MAE0,MAE1,MAE2,MAE3,MAE4,MAE5,MAE6,MAE7,MAE8,MAE9,MAE10,Angle0,Angle1,Angle2,Angle3,Angle4,Angle5,Angle6,Angle7,Angle8,Angle9,cpi
300,50,1,NaN,F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
300,50,2,462.74,F,0.3819963,0.35879573,0.3356092,0.31241474,0.2892301,0.2660486,0.24285138,0.21964613,0.19645701,0.17326364,0.15006042,17.94966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
300,50,3,NaN,F,0.03891021,0.03789318,0.036890317,0.03588592,0.034885075,0.033881813,0.032874018,0.031875584,0.030874075,0.029874405,0.02888074,30.009514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
300,50,4,NaN,F,0.080293596,0.0817425,0.08320343,0.08464232,0.08609255,0.08754432,0.088996604,0.09044814,0.091906704,0.09334259,0.09479864,32.5399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
300,50,5,NaN,F,2.7295751E-5,0.005209214,0.010408451,0.015610101,0.020811992,0.02601749,0.031216806,0.036426563,0.041626327,0.046829116,0.05202945,54.031693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
300,50,6,NaN,F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
300,50,7,NaN,F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
300,50,8,NaN,F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
300,50,9,NaN,F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
300,50,10,NaN,F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
300,50,11,NaN,F,2.8433074E-5,2.8433074E-5,2.8433074E-5,2.8433074E-5,2.8433074E-5,2.8433074E-5,2.8433074E-5,2.8433074E-5,2.8433074E-5,2.8433074E-5,2.8433074E-5,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
300,50,12,NaN,F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
300,50,13,-96.19,F,0.48474264,0.4362824,0.3878117,0.33932483,0.29086235,0.24237446,0.19391268,0.14542699,0.09695768,0.048487574,2.8433074E-5,50.21031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
300,50,14,13.85,F,0.37536314,0.34036484,0.30536336,0.27036405,0.23536983,0.20036907,0.16537991,0.13037696,0.09537767,0.060383152,0.025385644,84.31555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
300,50,15,NaN,F,0.23627107,0.23346774,0.23066662,0.227869,0.22506793,0.22226538,0.2194657,0.21666828,0.2197154,0.23017433,0.24063809,44.23642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70
900,50,1,0.58,T,124.77883,114.4949,104.211136,93.92739,83.64354,73.54642,67.75867,71.91739,77.21119,83.32051,90.25134,-75.2392,-62.337227,-33.185883,-14.480743,-7.3566556,1.8125782,0.33369914,0.0,0.0,0.0,60
900,50,2,1.24,T,177.60188,155.82243,135.15222,122.95852,126.39769,130.81352,135.49442,140.31671,145.26962,150.22896,155.40613,76.38363,62.763943,44.339233,31.490602,22.560816,19.025373,-17.171705,-16.05906,0.0,0.0,30
900,50,3,281.25,F,0.17098504,0.16807349,0.16524109,0.16239625,0.1595507,0.15670998,0.1538492,0.1509866,0.14815196,0.14531071,0.14246325,23.222172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
900,50,4,-56.49,F,12.758315,12.053073,11.347669,10.642583,9.937324,9.232118,8.526933,7.821687,7.1163707,6.4112678,5.705872,29.764563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
900,50,5,52.24,F,13.408699,12.848015,12.287376,11.726896,11.166208,10.605578,10.045034,9.4844055,8.923775,8.363404,7.8026133,39.43888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
900,50,6,-74.47,F,6.858557,6.679548,6.5005636,6.321557,6.142571,5.9636474,5.784613,5.605613,5.426621,5.2476172,5.068578,53.64997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
