Distance,Width,Count,PositionValue,Success,MAE0,MAE1,MAE2,MAE3,MAE4,MAE5,MAE6,MAE7,MAE8,MAE9,MAE10,Angle0,Angle1,Angle2,Angle3,Angle4,Angle5,Angle6,Angle7,Angle8,Angle9,cpi
300,20,1,0.26,T,12.804076,9.403358,6.1062565,3.2005663,2.9634988,6.413818,10.089846,13.77753,17.46611,21.168995,24.883219,7.0767174,8.307233,7.8161035,6.8295374,4.0644603,1.8893459,1.280755,1.2043273,2.1271338,2.879948,40
300,20,2,-0.22,T,13.054188,18.329828,23.99265,29.729155,35.507767,41.342373,47.17871,53.047516,58.942375,64.840904,70.763535,-4.134354,-3.785245,-8.396453,-10.163238,-10.949114,0.0,-13.631706,-14.011482,-15.0844755,-15.467429,0
300,20,3,0.77,T,30.367775,26.363976,22.360823,18.358177,14.355518,10.35287,6.3502545,2.347888,2.834741,6.529917,10.333618,12.465938,10.721829,5.579785,4.7726655,4.492791,3.973613,3.63879,3.7321365,4.1320634,0.0,70
300,20,4,0.50,T,8.321412,3.1294415,3.9889674,7.7869315,12.664689,17.74909,22.90819,28.068676,33.25708,38.445415,43.63944,-0.21930347,-4.6677423,-5.3926597,-5.4858828,-7.415741,-8.282705,-8.287363,-8.378064,0.0,0.0,10
300,20,5,0.70,T,19.491154,14.922958,10.354749,5.7865586,1.9648095,4.712442,8.346036,12.517245,17.062073,21.6312,26.200369,5.891076,6.2997336,4.737639,2.4846747,0.95639294,1.2133789,2.2336392,2.3267927,0.0,0.0,40
300,20,6,0.51,T,5.258386,7.4220095,9.885907,12.442628,15.17524,18.150368,21.221453,24.404924,27.639198,30.916632,34.23884,-9.586316,-4.7785325,-1.6753964,-1.9983517,-3.8210523,-7.2297487,-7.9265065,-8.854347,-9.350155,0.0,0
300,20,7,0.92,T,3.352775,2.6176178,3.280476,4.1323175,5.251373,6.51099,7.825147,9.378717,11.139062,12.950091,14.761134,1.9877384,2.6942751,3.2620947,1.6384233,0.7907446,1.2593676,2.980448,4.0062466,0.0,0.0,10
300,20,8,1.03,T,5.3050566,5.404533,5.5040135,5.603487,5.7029676,5.802444,5.9019246,6.001399,6.1146193,6.229445,6.3442807,-9.5316515,-6.6948266,-4.962479,-2.5569348,-0.22084415,-2.2537344,-3.3929098,-3.5209374,0.0,0.0,0
300,20,9,1.04,T,3.5799534,2.2902477,1.1857034,0.50171727,1.7857515,3.1150012,4.4455204,5.7760615,7.10659,8.437109,9.767648,3.0515075,3.6291077,3.5563085,3.101958,0.0,1.4443684,1.2224528,1.3025986,0.0,0.0,30
300,20,10,0.75,T,15.187602,12.509026,9.830901,7.1527724,4.4746203,1.7964647,0.93388593,3.5783014,6.2591467,8.939969,11.6207905,-2.6218543,-2.0208726,-1.4650357,-0.88267577,-0.97541416,-1.047248,-0.6817507,-0.88354087,0.0,0.0,60
