Distance,Width,Count,PositionValue,Success,MAE0,MAE1,MAE2,MAE3,MAE4,MAE5,MAE6,MAE7,MAE8,MAE9,MAE10,Angle0,Angle1,Angle2,Angle3,Angle4,Angle5,Angle6,Angle7,Angle8,Angle9
400,30,1,-31.20,F,21.97656,19.809341,17.642117,15.474892,13.307671,11.140443,8.973215,6.8059926,4.966386,3.612496,2.9709861,74.23672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
400,30,2,58.08,F,15.619417,14.108246,12.597078,11.0859,9.574731,8.063557,6.5523863,5.0412226,3.74847,2.779522,2.2854967,19.329803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
400,30,3,NaN,F,11.334226,10.233702,9.133181,8.032643,6.9385595,5.8481145,4.7592783,3.6705744,2.7406404,2.0452158,1.6937083,5.9077797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
400,30,4,-118.82,F,9.696887,8.831334,7.9657946,7.100235,6.2396026,5.3817453,4.5251207,3.6686027,2.9332302,2.3768299,2.082899,34.439842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
400,30,5,3682.56,F,8.010472,7.2962193,6.58198,5.867722,5.1575356,4.449642,3.7427664,3.0359793,2.4292684,1.9704031,1.7283623,28.732815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
400,30,6,95.42,F,6.7300324,6.141776,5.553532,4.9652734,4.3803577,3.7973263,3.2151306,2.6330073,2.1330907,1.7546175,1.5542511,25.90706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
400,30,7,NaN,F,5.894778,5.380354,4.8659396,4.3515134,3.8400128,3.3301592,2.8210385,2.3119802,1.8748536,1.5439895,1.3689691,73.71735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
400,30,8,NaN,F,5.3181715,4.854059,4.3899565,3.9258418,3.464365,3.004373,2.545041,2.0857651,1.6913295,1.39268,1.234509,32.72586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
400,30,9,-101.11,F,4.850233,4.427836,4.0054493,3.5830488,3.1630194,2.7443292,2.3262274,1.9081779,1.5484022,1.2747121,1.1272744,35.25976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
400,30,10,NaN,F,4.4103923,4.0262203,3.642058,3.2578845,2.8758621,2.495056,2.114785,1.7345606,1.4072526,1.1581129,1.0236194,65.50105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
400,30,11,-7.29,F,4.1007257,3.7427492,3.3847802,3.0268023,2.6707742,2.3158474,1.9614067,1.6070069,1.3005629,1.0649594,0.93325496,86.4181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1200,60,1,NaN,F,3.3361838,3.0458982,2.7556233,2.4653368,2.1766362,1.8888341,1.6014276,1.3140497,1.0656911,0.8749646,0.7687637,81.831436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1200,60,2,NaN,F,3.0997632,2.830049,2.5603447,2.2906296,2.0223885,1.7549816,1.4879425,1.22093,0.9901717,0.8129611,0.7142863,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1200,60,3,-1077.11,F,2.9210796,2.6668475,2.4126256,2.1583924,1.9055471,1.6534853,1.4017706,1.1500802,0.9324963,0.76528585,0.67195827,36.136963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1200,60,4,NaN,F,2.7416284,2.5029721,2.2643304,2.0256732,1.7883172,1.5516998,1.3154044,1.0791353,0.87483835,0.7177641,0.62996083,57.253147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1200,60,5,NaN,F,2.580484,2.3558543,2.131238,1.9066073,1.683201,1.46049,1.2380823,1.0156991,0.82340723,0.67556036,0.5929107,16.31302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1200,60,6,NaN,F,2.4371238,2.2249734,2.0128357,1.8006846,1.5896899,1.3793516,1.1693,0.9592714,0.7776624,0.6380292,0.5599712,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1200,60,7,NaN,F,2.2954369,2.0956209,1.8958169,1.696,1.4972724,1.2991632,1.1013237,0.90350616,0.73245585,0.6009409,0.5274212,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1200,60,8,NaN,F,2.1693141,1.980477,1.7916511,1.6028132,1.4150047,1.2277806,1.0408114,0.853863,0.69221103,0.5679222,0.49844196,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1200,60,9,NaN,F,2.067095,1.887156,1.7072278,1.527288,1.3483291,1.1699271,0.991768,0.8136286,0.65959376,0.5411614,0.47495517,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1200,60,10,NaN,F,1.954532,1.7843916,1.6142614,1.4441204,1.2749068,1.1062196,0.9377623,0.7693236,0.6236768,0.5116938,0.44909278,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1200,60,11,NaN,F,1.8711634,1.7082802,1.5454067,1.3825228,1.2205268,1.059035,0.897763,0.73650885,0.59707445,0.48986796,0.42993718,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1000,90,1,NaN,F,1.7547354,1.6019871,1.4492481,1.2964991,1.1445829,0.99313945,0.8419022,0.69068164,0.5599232,0.45938727,0.40318552,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1000,90,2,NaN,F,1.6800658,1.5338175,1.3875779,1.241329,1.0958773,0.9508782,0.8060766,0.66129094,0.53609663,0.4398389,0.3860287,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1000,90,3,NaN,F,1.6180991,1.4772452,1.3363998,1.1955453,1.0554585,0.91580784,0.7763472,0.63690203,0.51632535,0.42361808,0.37179267,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1000,90,4,NaN,F,1.5482988,1.4135209,1.2787511,1.1439728,1.009929,0.87630236,0.74285775,0.6094278,0.49405247,0.40534434,0.35575455,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1000,90,5,NaN,F,1.5012022,1.3705242,1.2398537,1.1091751,0.9792087,0.8496468,0.72026134,0.5908901,0.47902426,0.3930145,0.34493312,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1000,90,6,NaN,F,1.4568863,1.3300658,1.2032529,1.0764319,0.9503022,0.824565,0.698999,0.57344687,0.46488333,0.38141257,0.33475062,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1000,90,7,NaN,F,1.4100578,1.2873137,1.1645769,1.0418323,0.91975677,0.7980611,0.67653114,0.5550146,0.44994065,0.36915287,0.32399076,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1000,90,8,NaN,F,1.3708895,1.251555,1.1322275,1.0128925,0.89420795,0.77589273,0.6577386,0.5395976,0.4374423,0.35889864,0.31499103,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1000,90,9,-674.53,F,1.3320187,1.2160842,1.1001568,0.9842221,0.8689179,0.75397223,0.63918245,0.5244055,0.4251295,0.34874976,0.30595687,55.809334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1000,90,10,99.02,F,1.3261057,1.2107391,1.0953863,0.9800214,0.86526966,0.75086534,0.636611,0.5223662,0.42312205,0.34602204,0.30142173,73.60999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1000,90,11,NaN,F,1.2924268,1.1799902,1.0675669,0.955132,0.84329456,0.7317957,0.6204431,0.5090998,0.41237608,0.33723417,0.2937666,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
