Distance,Width,Count,CycleRepeat,PositionValue,Success
400,90,1,1,0.59,T
400,90,2,1,0.34,T
400,90,3,1,0.36,T
400,90,4,1,0.68,T
400,90,5,1,0.54,T
400,90,6,1,1.07,F
400,90,7,1,0.55,T
400,90,8,1,0.17,T
400,90,9,1,-0.06,F
400,90,10,1,0.24,T
400,90,11,1,0.24,T
400,90,12,2,1.06,F
400,90,13,2,0.74,T
400,90,14,2,0.73,T
400,90,15,2,0.92,T
400,90,16,2,0.89,T
400,90,17,2,1.45,F
400,90,18,2,3.74,F
400,90,19,2,-4.79,F
400,90,20,2,-0.4,F
400,90,21,2,0.39,T
400,90,22,2,0.5,T
800,60,1,1,0.75,T
800,60,2,1,0.93,T
800,60,3,1,1.11,F
800,60,4,1,1.25,F
800,60,5,1,1.33,F
800,60,6,1,1.56,F
800,60,7,1,1.01,F
800,60,8,1,1.97,F
800,60,9,1,-8.54,F
800,60,10,1,-0.4,F
800,60,11,1,0.34,T
800,60,12,2,0.97,T
800,60,13,2,1.14,F
800,60,14,2,1.1,F
800,60,15,2,1.28,F
800,60,16,2,1.22,F
800,60,17,2,1.4,F
800,60,18,2,1.49,F
800,60,19,2,3.53,F
800,60,20,2,-20.62,F
800,60,21,2,-0.32,F
800,60,22,2,0.57,T
600,60,1,1,1.3,F
600,60,2,1,0.72,T
600,60,3,1,0.78,T
600,60,4,1,0.85,T
600,60,5,1,1.26,F
600,60,6,1,0.99,T
600,60,7,1,1.29,F
600,60,8,1,0.3,T
600,60,9,1,0.95,T
600,60,10,1,0.57,T
600,60,11,1,0.16,T
600,60,12,2,0.99,T
600,60,13,2,0.65,T
600,60,14,2,0.55,T
600,60,15,2,0.64,T
600,60,16,2,1.02,F
600,60,17,2,1.44,F
600,60,18,2,0.75,T
600,60,19,2,-2.39,F
600,60,20,2,-0.33,F
600,60,21,2,0.81,T
600,60,22,2,0.39,T
1000,90,1,1,0.68,T
1000,90,2,1,0.99,T
1000,90,3,1,1.2,F
1000,90,4,1,1.21,F
1000,90,5,1,1.63,F
1000,90,6,1,1.53,F
1000,90,7,1,1.9,F
1000,90,8,1,6.6,F
1000,90,9,1,-2.66,F
1000,90,10,1,-0.44,F
1000,90,11,1,0.18,T
1000,90,12,2,0.9,T
1000,90,13,2,0.75,T
1000,90,14,2,0.94,T
1000,90,15,2,1.07,F
1000,90,16,2,1.31,F
1000,90,17,2,1.85,F
1000,90,18,2,2.74,F
1000,90,19,2,-89.81,F
1000,90,20,2,-0.92,F
1000,90,21,2,0.59,T
1000,90,22,2,0.22,T
1200,60,1,1,1.37,F
1200,60,2,1,0.89,T
1200,60,3,1,0.83,T
1200,60,4,1,1.21,F
1200,60,5,1,1.34,F
1200,60,6,1,1.67,F
1200,60,7,1,2.02,F
1200,60,8,1,6.97,F
1200,60,9,1,-4.71,F
1200,60,10,1,-0.4,F
1200,60,11,1,0.33,T
1200,60,12,2,0.58,T
1200,60,13,2,0.75,T
1200,60,14,2,1.08,F
1200,60,15,2,1.08,F
1200,60,16,2,0.96,T
1200,60,17,2,1.14,F
1200,60,18,2,1.39,F
1200,60,19,2,-12.19,F
1200,60,20,2,-2.67,F
1200,60,21,2,-0.48,F
1200,60,22,2,0.5,T
400,60,1,1,0.96,T
400,60,2,1,0.8,T
400,60,3,1,0.79,T
400,60,4,1,0.83,T
400,60,5,1,0.9,T
400,60,6,1,1.96,F
400,60,7,1,3.24,F
400,60,8,1,-0.85,F
400,60,9,1,-0.95,F
400,60,10,1,0.3,T
400,60,11,1,0.4,T
400,60,12,2,0.55,T
400,60,13,2,0.68,T
400,60,14,2,0.92,T
400,60,15,2,1.06,F
400,60,16,2,1.38,F
400,60,17,2,3.22,F
400,60,18,2,9.25,F
400,60,19,2,-0.85,F
400,60,20,2,-0.28,F
400,60,21,2,0.39,T
400,60,22,2,0.51,T
800,90,1,1,0.99,T
800,90,2,1,0.77,T
800,90,3,1,1.44,F
800,90,4,1,1.04,F
800,90,5,1,1.15,F
800,90,6,1,1.45,F
800,90,7,1,1.63,F
800,90,8,1,5.79,F
800,90,9,1,-4.37,F
800,90,10,1,-4.51,F
800,90,11,1,0.11,T
800,90,12,2,0.83,T
800,90,13,2,0.89,T
800,90,14,2,1.6,F
800,90,15,2,1.38,F
800,90,16,2,1.15,F
800,90,17,2,NaN,F
800,90,18,2,0.19,T
