Distance,Width,PositionValue,ThoughtPut,Time,isClicked,isTimed,Success
400,60,0.46,5.33,551.00,T,T,T
400,60,0.61,5.69,516.00,T,T,T
400,60,0.50,6.01,489.00,T,T,T
400,60,0.52,6.76,435.00,T,T,T
400,60,0.45,7.17,410.00,T,T,T
400,60,1.67,5.69,516.00,T,T,T
400,60,0.73,5.88,500.00,T,T,T
400,60,0.56,6.43,457.00,T,T,T
400,60,0.55,5.94,495.00,T,T,T
400,60,0.58,5.49,535.00,T,T,T
400,60,0.55,5.22,563.00,T,T,T
400,30,1.05,7.68,500.00,F,T,T
400,30,-1.73,12.00,320.00,F,T,T
400,30,-1.25,13.16,292.00,F,T,T
400,30,-1.71,12.08,318.00,F,T,T
400,30,-1.30,12.89,298.00,F,T,T
400,30,-4.45,13.82,278.00,F,T,T
400,30,5.97,16.28,236.00,F,T,T
400,30,5.65,14.44,266.00,F,T,T
400,30,-11.44,14.50,265.00,F,T,T
400,30,5.81,13.97,275.00,F,T,T
400,30,3.85,13.97,275.00,F,T,T
